id,source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,mineral_d,ff_d,total_d,ccontent,total_c,ccontent_1m,total_c_1m,pedon_start
1329,NRCS (Michaelson et al. 2013),78AK130002,Humo-Ferric Podzol,55.708,-132.713,HIGH,2,O2,NA,5.0,0.0,5.0,0.14,1,0.0,0,60.58,0,,,,4241.0,,4241.0,,False
1330,NRCS (Michaelson et al. 2013),78AK130002,Humo-Ferric Podzol,55.708,-132.713,HIGH,3,E,NA,0.0,3.0,3.0,1.31,1,1.0,0,5.43,0,,,,2113.0,,2113.0,,False
1331,NRCS (Michaelson et al. 2013),78AK130002,Humo-Ferric Podzol,55.708,-132.713,HIGH,4,Bhf1,NA,3.0,5.0,2.0,1.19,1,1.0,0,8.71,0,,,,2052.0,,2052.0,,False
1332,NRCS (Michaelson et al. 2013),78AK130002,Humo-Ferric Podzol,55.708,-132.713,HIGH,5,Bhf2,NA,5.0,13.0,8.0,1.19,1,0.0,0,6.49,0,,,,6178.0,,6178.0,,False
1333,NRCS (Michaelson et al. 2013),78AK130002,Humo-Ferric Podzol,55.708,-132.713,HIGH,6,B,NA,13.0,28.0,15.0,1.19,1,0.0,0,1.71,0,,,,3052.0,,3052.0,,False
1334,NRCS (Michaelson et al. 2013),78AK130002,Humo-Ferric Podzol,55.708,-132.713,HIGH,7,2C,NA,28.0,28.0,0.0,1.91,1,0.0,0,0.51,0,,,,0.0,,0.0,,False
1335,NRCS (Michaelson et al. 2013),84AK201006,Humo-Ferric Podzol,55.704,-132.583,HIGH,1,Oh,NA,3.0,0.0,3.0,0.15,1,0.0,0,12.67,0,96.0,3.0,99.0,570.0,15550.0,570.0,155.5,True
1336,NRCS (Michaelson et al. 2013),84AK201006,Humo-Ferric Podzol,55.704,-132.583,HIGH,2,E,NA,0.0,3.0,3.0,1.31,1,4.0,0,5.57,0,,,,2101.0,,2101.0,,False
1337,NRCS (Michaelson et al. 2013),84AK201006,Humo-Ferric Podzol,55.704,-132.583,HIGH,3,Bhf,NA,3.0,8.0,5.0,1.19,1,31.0,0,6.09,0,,,,2500.0,,2500.0,,False
1338,NRCS (Michaelson et al. 2013),84AK201006,Humo-Ferric Podzol,55.704,-132.583,HIGH,4,bf,NA,8.0,26.0,18.0,1.46,1,37.0,0,3.07,0,,,,5083.0,,5083.0,,False
1339,NRCS (Michaelson et al. 2013),84AK201006,Humo-Ferric Podzol,55.704,-132.583,HIGH,5,BC,NA,26.0,42.0,16.0,1.19,1,41.0,0,1.78,0,,,,2000.0,,2000.0,,False
1340,NRCS (Michaelson et al. 2013),84AK201006,Humo-Ferric Podzol,55.704,-132.583,HIGH,6,C,NA,42.0,96.0,54.0,1.91,1,53.0,0,0.68,0,,,,3296.0,,3296.0,,False
1341,NRCS (Michaelson et al. 2013),98AK201001,Mesisol,55.701,-132.629,HIGH,1,Of,NA,0.0,8.0,8.0,0.08,1,0.0,0,48.92,0,0.0,150.0,150.0,3131.0,98563.0,3131.0,667.75,True
1342,NRCS (Michaelson et al. 2013),98AK201001,Mesisol,55.701,-132.629,HIGH,2,Oh,NA,8.0,33.0,25.0,0.15,1,0.0,0,52.64,0,,,,19740.0,,19740.0,,False
1343,NRCS (Michaelson et al. 2013),98AK201001,Mesisol,55.701,-132.629,HIGH,3,Om1,NA,33.0,63.0,30.0,0.12,1,0.0,0,55.0,0,,,,19800.0,,19800.0,,False
1344,NRCS (Michaelson et al. 2013),98AK201001,Mesisol,55.701,-132.629,HIGH,4,Om2,NA,63.0,85.0,22.0,0.12,1,0.0,0,54.82,0,,,,14472.0,,14472.0,,False
1345,NRCS (Michaelson et al. 2013),98AK201001,Mesisol,55.701,-132.629,HIGH,5,Om3,NA,85.0,125.0,40.0,0.12,1,0.0,0,53.51,0,,,,25685.0,,9632.0,,False
1346,NRCS (Michaelson et al. 2013),98AK201001,Mesisol,55.701,-132.629,HIGH,6,Om4,NA,125.0,150.0,25.0,0.12,1,0.0,0,52.45,0,,,,15735.0,,0.0,,False
1347,NRCS (Michaelson et al. 2013),98AK201002,Humic Podzol,55.701,-132.629,HIGH,1,Of,NA,0.0,7.0,7.0,0.08,1,0.0,0,46.74,0,74.0,16.0,90.0,2617.0,29477.0,2617.0,294.77,True
1348,NRCS (Michaelson et al. 2013),98AK201002,Humic Podzol,55.701,-132.629,HIGH,2,Om,NA,7.0,16.0,9.0,0.12,1,0.0,0,49.72,0,,,,5370.0,,5370.0,,False
1349,NRCS (Michaelson et al. 2013),98AK201002,Humic Podzol,55.701,-132.629,HIGH,3,E,NA,16.0,21.0,5.0,0.93,1,9.0,0,3.87,0,,,,1638.0,,1638.0,,False
1350,NRCS (Michaelson et al. 2013),98AK201002,Humic Podzol,55.701,-132.629,HIGH,4,Bhf,NA,21.0,29.0,8.0,0.86,1,0.0,0,4.93,0,,,,3392.0,,3392.0,,False
1351,NRCS (Michaelson et al. 2013),98AK201002,Humic Podzol,55.701,-132.629,HIGH,5,Bhf,NA,29.0,47.0,18.0,1.11,0,15.0,0,4.25,0,,,,7218.0,,7218.0,,False
1352,NRCS (Michaelson et al. 2013),98AK201002,Humic Podzol,55.701,-132.629,HIGH,6,Bg,NA,47.0,65.0,18.0,1.72,0,21.0,0,3.07,0,,,,7509.0,,7509.0,,False
1353,NRCS (Michaelson et al. 2013),98AK201002,Humic Podzol,55.701,-132.629,HIGH,7,2C,NA,65.0,72.0,7.0,1.44,0,5.0,0,1.34,0,,,,1283.0,,1283.0,,False
1354,NRCS (Michaelson et al. 2013),98AK201002,Humic Podzol,55.701,-132.629,HIGH,8,3Cd,NA,72.0,90.0,18.0,1.78,0,62.0,0,0.37,0,,,,450.0,,450.0,,False
1355,NRCS (Michaelson et al. 2013),98AK201003,Humic Podzol,55.701,-132.629,HIGH,1,Om,NA,0.0,7.0,7.0,0.12,1,0.0,0,50.37,0,75.0,28.0,103.0,4231.0,51451.0,4231.0,513.05,True
1356,NRCS (Michaelson et al. 2013),98AK201003,Humic Podzol,55.701,-132.629,HIGH,2,Oh1 / Oh2,NA,7.0,28.0,21.0,0.15,1,0.0,0,50.48,0,,,,15901.0,,15901.0,,False
1357,NRCS (Michaelson et al. 2013),98AK201003,Humic Podzol,55.701,-132.629,HIGH,3,E,NA,28.0,32.0,4.0,0.93,1,4.0,0,9.17,0,,,,3275.0,,3275.0,,False
1358,NRCS (Michaelson et al. 2013),98AK201003,Humic Podzol,55.701,-132.629,HIGH,4,Bhf1,NA,32.0,42.0,10.0,1.61,0,1.0,0,6.25,0,,,,9962.0,,9962.0,,False
1359,NRCS (Michaelson et al. 2013),98AK201003,Humic Podzol,55.701,-132.629,HIGH,5,Bhf2,NA,42.0,49.0,7.0,1.54,0,10.0,0,4.71,0,,,,4570.0,,4570.0,,False
1360,NRCS (Michaelson et al. 2013),98AK201003,Humic Podzol,55.701,-132.629,HIGH,6,Bhf3,NA,49.0,76.0,27.0,2.09,0,19.0,0,2.41,0,,,,11016.0,,11016.0,,False
1361,NRCS (Michaelson et al. 2013),98AK201003,Humic Podzol,55.701,-132.629,HIGH,7,C,NA,76.0,88.0,12.0,2.27,0,37.0,0,1.03,0,,,,1768.0,,1768.0,,False
1362,NRCS (Michaelson et al. 2013),98AK201003,Humic Podzol,55.701,-132.629,HIGH,8,Cd,NA,88.0,103.0,15.0,1.74,1,38.0,0,0.45,0,,,,728.0,,582.0,,False
1363,NRCS (Michaelson et al. 2013),98AK201004,Humic Podzol,55.71,-132.621,HIGH,1,Of,NA,0.0,7.0,7.0,0.08,1,0.0,0,49.98,0,74.0,46.0,120.0,2799.0,44415.0,2799.0,428.06,True
1364,NRCS (Michaelson et al. 2013),98AK201004,Humic Podzol,55.71,-132.621,HIGH,2,Om1,NA,7.0,22.0,15.0,0.12,1,0.0,0,52.67,0,,,,9481.0,,9481.0,,False
1365,NRCS (Michaelson et al. 2013),98AK201004,Humic Podzol,55.71,-132.621,HIGH,3,Om2,NA,22.0,46.0,24.0,0.12,1,0.0,0,49.02,0,,,,14118.0,,14118.0,,False
1366,NRCS (Michaelson et al. 2013),98AK201004,Humic Podzol,55.71,-132.621,HIGH,4,E,NA,46.0,63.0,17.0,1.43,0,8.0,0,1.76,0,,,,3936.0,,3936.0,,False
1367,NRCS (Michaelson et al. 2013),98AK201004,Humic Podzol,55.71,-132.621,HIGH,5,Bhf,NA,63.0,73.0,10.0,2.03,0,12.0,0,4.82,0,,,,8610.0,,8610.0,,False
1368,NRCS (Michaelson et al. 2013),98AK201004,Humic Podzol,55.71,-132.621,HIGH,6,bf,NA,73.0,87.0,14.0,2.08,0,22.0,0,1.24,0,,,,2816.0,,2816.0,,False
1369,NRCS (Michaelson et al. 2013),98AK201004,Humic Podzol,55.71,-132.621,HIGH,7,Cd,NA,87.0,120.0,33.0,1.74,1,33.0,0,0.69,0,,,,2655.0,,1046.0,,False
1370,NRCS (Michaelson et al. 2013),82AK130125,Ferro-Humic Podzol,55.721,-131.692,HIGH,1,Of,NA,25.0,15.0,10.0,0.08,1,0.0,0,36.67,1,100.0,25.0,125.0,2934.0,86178.0,2934.0,861.78,True
1371,NRCS (Michaelson et al. 2013),82AK130125,Ferro-Humic Podzol,55.721,-131.692,HIGH,2,Om,NA,15.0,0.0,15.0,0.12,1,0.0,0,40.64,1,,,,7315.0,,7315.0,,False
1372,NRCS (Michaelson et al. 2013),82AK130125,Ferro-Humic Podzol,55.721,-131.692,HIGH,3,E,NA,0.0,5.0,5.0,0.93,1,1.0,0,5.36,0,,,,2467.0,,2467.0,,False
1373,NRCS (Michaelson et al. 2013),82AK130125,Ferro-Humic Podzol,55.721,-131.692,HIGH,4,Bh,NA,5.0,18.0,13.0,0.86,1,2.0,0,9.55,0,,,,10463.0,,10463.0,,False
1374,NRCS (Michaelson et al. 2013),82AK130125,Ferro-Humic Podzol,55.721,-131.692,HIGH,5,bf,NA,18.0,40.0,22.0,1.17,1,4.0,0,5.9,0,,,,14579.0,,14579.0,,False
1375,NRCS (Michaelson et al. 2013),82AK130125,Ferro-Humic Podzol,55.721,-131.692,HIGH,6,BC,NA,40.0,71.0,31.0,1.71,1,3.0,0,5.24,0,,,,26944.0,,26944.0,,False
1376,NRCS (Michaelson et al. 2013),82AK130125,Ferro-Humic Podzol,55.721,-131.692,HIGH,7,C,NA,71.0,100.0,29.0,1.74,1,5.0,0,4.48,0,,,,21476.0,,21476.0,,False
1377,NRCS (Michaelson et al. 2013),82AK130126,Humo-Ferric Podzol,55.721,-131.692,HIGH,1,Of,NA,13.0,8.0,5.0,0.08,1,0.0,0,36.67,1,100.0,13.0,113.0,1467.0,62984.0,1467.0,629.84,True
1378,NRCS (Michaelson et al. 2013),82AK130126,Humo-Ferric Podzol,55.721,-131.692,HIGH,2,Om,NA,8.0,0.0,8.0,0.12,1,0.0,0,40.64,1,,,,3901.0,,3901.0,,False
1379,NRCS (Michaelson et al. 2013),82AK130126,Humo-Ferric Podzol,55.721,-131.692,HIGH,3,bf,NA,0.0,12.0,12.0,1.46,1,9.0,0,4.28,0,,,,6824.0,,6824.0,,False
1380,NRCS (Michaelson et al. 2013),82AK130126,Humo-Ferric Podzol,55.721,-131.692,HIGH,4,BC,NA,12.0,43.0,31.0,1.19,1,8.0,0,4.33,0,,,,14696.0,,14696.0,,False
1381,NRCS (Michaelson et al. 2013),82AK130126,Humo-Ferric Podzol,55.721,-131.692,HIGH,5,C,NA,43.0,100.0,57.0,1.91,1,5.0,0,3.49,0,,,,36096.0,,36096.0,,False
1382,NRCS (Michaelson et al. 2013),82AK130134,Ferro-Humic Podzol,55.721,-131.692,HIGH,1,Of,NA,28.0,23.0,5.0,0.08,1,0.0,0,36.67,1,74.0,28.0,102.0,1467.0,64570.0,1467.0,645.7,True
1383,NRCS (Michaelson et al. 2013),82AK130134,Ferro-Humic Podzol,55.721,-131.692,HIGH,2,Om,NA,23.0,0.0,23.0,0.12,1,0.0,0,40.64,1,,,,11217.0,,11217.0,,False
1384,NRCS (Michaelson et al. 2013),82AK130134,Ferro-Humic Podzol,55.721,-131.692,HIGH,3,E,NA,0.0,3.0,3.0,0.93,1,2.0,0,3.73,0,,,,1020.0,,1020.0,,False
1385,NRCS (Michaelson et al. 2013),82AK130134,Ferro-Humic Podzol,55.721,-131.692,HIGH,4,Bh,NA,3.0,15.0,12.0,0.86,1,1.0,0,12.43,0,,,,12699.0,,12699.0,,False
1386,NRCS (Michaelson et al. 2013),82AK130134,Ferro-Humic Podzol,55.721,-131.692,HIGH,5,bf,NA,15.0,74.0,59.0,1.17,1,5.0,0,5.82,0,,,,38167.0,,38167.0,,False
1387,NRCS (Michaelson et al. 2013),82AK130134,Ferro-Humic Podzol,55.721,-131.692,HIGH,6,C,NA,74.0,74.0,0.0,1.74,1,18.0,0,2.47,0,,,,0.0,,0.0,,False
1388,NRCS (Michaelson et al. 2013),82AK130136,Ferro-Humic Podzol,55.721,-131.692,HIGH,1,Of,NA,32.0,25.0,7.0,0.08,1,0.0,0,36.67,1,58.0,32.0,90.0,2054.0,48810.0,2054.0,488.1,True
1389,NRCS (Michaelson et al. 2013),82AK130136,Ferro-Humic Podzol,55.721,-131.692,HIGH,2,Om,NA,25.0,0.0,25.0,0.12,1,0.0,0,40.64,1,,,,12192.0,,12192.0,,False
1390,NRCS (Michaelson et al. 2013),82AK130136,Ferro-Humic Podzol,55.721,-131.692,HIGH,3,A,NA,0.0,15.0,15.0,0.12,1,0.0,0,35.78,0,,,,6440.0,,6440.0,,False
1391,NRCS (Michaelson et al. 2013),82AK130136,Ferro-Humic Podzol,55.721,-131.692,HIGH,4,E,NA,15.0,18.0,3.0,0.93,1,1.0,0,3.09,0,,,,853.0,,853.0,,False
1392,NRCS (Michaelson et al. 2013),82AK130136,Ferro-Humic Podzol,55.721,-131.692,HIGH,5,Bh,NA,18.0,23.0,5.0,0.86,1,3.0,0,9.24,0,,,,3854.0,,3854.0,,False
1393,NRCS (Michaelson et al. 2013),82AK130136,Ferro-Humic Podzol,55.721,-131.692,HIGH,6,bf,NA,23.0,41.0,18.0,1.17,1,6.0,0,5.34,0,,,,10571.0,,10571.0,,False
1394,NRCS (Michaelson et al. 2013),82AK130136,Ferro-Humic Podzol,55.721,-131.692,HIGH,7,C,NA,41.0,58.0,17.0,1.74,1,6.0,0,4.62,0,,,,12846.0,,12846.0,,False
1395,NRCS (Michaelson et al. 2013),83AK130050,Ferro-Humic Podzol,55.764,-133.225,HIGH,1,Of,NA,15.0,11.0,4.0,0.08,1,0.0,0,50.28,0,36.0,15.0,51.0,1609.0,34323.0,1609.0,343.23,True
1396,NRCS (Michaelson et al. 2013),83AK130050,Ferro-Humic Podzol,55.764,-133.225,HIGH,2,Om,NA,11.0,0.0,11.0,0.12,1,0.0,0,49.23,0,,,,6498.0,,6498.0,,False
1397,NRCS (Michaelson et al. 2013),83AK130050,Ferro-Humic Podzol,55.764,-133.225,HIGH,3,Bhf,NA,0.0,15.0,15.0,0.86,1,25.0,0,11.94,0,,,,11552.0,,11552.0,,False
1398,NRCS (Michaelson et al. 2013),83AK130050,Ferro-Humic Podzol,55.764,-133.225,HIGH,4,B / C,NA,15.0,36.0,21.0,1.71,1,18.0,0,4.98,0,,,,14664.0,,14664.0,,False
1399,NRCS (Michaelson et al. 2013),85AK130000,Humo-Ferric Podzol,55.763,-133.471,HIGH,1,Of,NA,17.0,11.0,6.0,0.08,1,0.0,0,52.95,0,85.0,17.0,102.0,2542.0,46293.0,2542.0,462.93,True
1400,NRCS (Michaelson et al. 2013),85AK130000,Humo-Ferric Podzol,55.763,-133.471,HIGH,2,Oh,NA,11.0,0.0,11.0,0.15,1,0.0,0,51.75,0,,,,8539.0,,8539.0,,False
1401,NRCS (Michaelson et al. 2013),85AK130000,Humo-Ferric Podzol,55.763,-133.471,HIGH,3,Bhf1,NA,0.0,4.0,4.0,1.19,1,46.0,0,23.0,0,,,,5912.0,,5912.0,,False
1402,NRCS (Michaelson et al. 2013),85AK130000,Humo-Ferric Podzol,55.763,-133.471,HIGH,4,Bhf2,NA,4.0,12.0,8.0,1.19,1,50.0,0,21.26,0,,,,10120.0,,10120.0,,False
1403,NRCS (Michaelson et al. 2013),85AK130000,Humo-Ferric Podzol,55.763,-133.471,HIGH,5,bf,NA,12.0,19.0,7.0,1.46,1,55.0,0,15.89,0,,,,7308.0,,7308.0,,False
1404,NRCS (Michaelson et al. 2013),85AK130000,Humo-Ferric Podzol,55.763,-133.471,HIGH,6,C1,NA,19.0,34.0,15.0,1.91,1,73.0,0,8.75,0,,,,6769.0,,6769.0,,False
1405,NRCS (Michaelson et al. 2013),85AK130000,Humo-Ferric Podzol,55.763,-133.471,HIGH,7,C2,NA,34.0,85.0,51.0,1.91,1,69.0,0,1.69,0,,,,5103.0,,5103.0,,False
1406,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,1,Of,NA,10.0,7.0,3.0,0.08,1,0.0,2,36.67,1,81.0,10.0,91.0,880.0,46515.0,880.0,465.15,True
1407,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,2,Om,NA,7.0,3.0,4.0,0.12,1,0.0,2,40.64,1,,,,1951.0,,1951.0,,False
1408,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,3,Oh,NA,3.0,0.0,3.0,0.15,1,0.0,2,36.07,1,,,,1623.0,,1623.0,,False
1409,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,4,E,NA,0.0,5.0,5.0,1.31,1,1.0,0,1.02,0,,,,661.0,,661.0,,False
1410,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,5,Bh,NA,5.0,10.0,5.0,1.19,1,2.0,0,5.6,0,,,,3265.0,,3265.0,,False
1411,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,6,bf,NA,10.0,15.0,5.0,1.46,1,2.0,0,3.12,0,,,,2232.0,,2232.0,,False
1412,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,7,bf2,NA,15.0,33.0,18.0,1.46,1,0.0,2,4.83,1,,,,12693.0,,12693.0,,False
1413,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,8,C,NA,33.0,71.0,38.0,1.91,1,0.0,2,2.74,1,,,,19887.0,,19887.0,,False
1414,NRCS (Michaelson et al. 2013),82AK130006,Humo-Ferric Podzol,55.771,-131.963,HIGH,9,2C,NA,71.0,81.0,10.0,1.91,1,0.0,2,1.74,1,,,,3323.0,,3323.0,,False
1415,NRCS (Michaelson et al. 2013),82AK130133,Ferro-Humic Podzol,55.769,-132.496,HIGH,1,Of,NA,20.0,10.0,10.0,0.08,1,0.0,0,36.67,1,63.0,20.0,83.0,2934.0,22535.0,2934.0,225.35,True
1416,NRCS (Michaelson et al. 2013),82AK130133,Ferro-Humic Podzol,55.769,-132.496,HIGH,2,Om,NA,10.0,0.0,10.0,0.12,1,0.0,0,40.64,1,,,,4877.0,,4877.0,,False
1417,NRCS (Michaelson et al. 2013),82AK130133,Ferro-Humic Podzol,55.769,-132.496,HIGH,3,E,NA,0.0,3.0,3.0,0.93,1,3.0,0,2.59,0,,,,701.0,,701.0,,False
1418,NRCS (Michaelson et al. 2013),82AK130133,Ferro-Humic Podzol,55.769,-132.496,HIGH,4,Bh,NA,3.0,8.0,5.0,0.86,1,13.0,0,4.76,0,,,,1781.0,,1781.0,,False
1419,NRCS (Michaelson et al. 2013),82AK130133,Ferro-Humic Podzol,55.769,-132.496,HIGH,5,bf,NA,8.0,15.0,7.0,1.17,1,17.0,0,2.6,0,,,,1767.0,,1767.0,,False
1420,NRCS (Michaelson et al. 2013),82AK130133,Ferro-Humic Podzol,55.769,-132.496,HIGH,6,By,NA,15.0,35.0,20.0,1.71,1,16.0,0,1.31,0,,,,3763.0,,3763.0,,False
1421,NRCS (Michaelson et al. 2013),82AK130133,Ferro-Humic Podzol,55.769,-132.496,HIGH,7,C,NA,35.0,63.0,28.0,1.74,1,18.0,0,1.68,0,,,,6712.0,,6712.0,,False
1422,NRCS (Michaelson et al. 2013),82AK130004,Humo-Ferric Podzol,55.792,-133.283,HIGH,1,Om,NA,13.0,0.0,13.0,0.12,1,0.0,0,40.64,1,84.0,13.0,97.0,6340.0,41805.0,6340.0,418.05,True
1423,NRCS (Michaelson et al. 2013),82AK130004,Humo-Ferric Podzol,55.792,-133.283,HIGH,2,bf1,NA,0.0,20.0,20.0,1.46,1,17.0,0,3.0,0,,,,7271.0,,7271.0,,False
1424,NRCS (Michaelson et al. 2013),82AK130004,Humo-Ferric Podzol,55.792,-133.283,HIGH,3,bf2,NA,20.0,43.0,23.0,1.46,1,9.0,0,2.42,0,,,,7395.0,,7395.0,,False
1425,NRCS (Michaelson et al. 2013),82AK130004,Humo-Ferric Podzol,55.792,-133.283,HIGH,4,BC,NA,43.0,84.0,41.0,1.19,1,13.0,0,4.9,0,,,,20799.0,,20799.0,,False
1426,NRCS (Michaelson et al. 2013),83AK130049,Humo-Ferric Podzol,55.797,-133.187,HIGH,1,Of,NA,10.0,5.0,5.0,0.08,1,0.0,0,49.84,0,101.0,10.0,111.0,1994.0,79635.0,1994.0,795.24,True
1427,NRCS (Michaelson et al. 2013),83AK130049,Humo-Ferric Podzol,55.797,-133.187,HIGH,2,Om,NA,5.0,0.0,5.0,0.12,1,0.0,0,49.59,0,,,,2975.0,,2975.0,,False
1428,NRCS (Michaelson et al. 2013),83AK130049,Humo-Ferric Podzol,55.797,-133.187,HIGH,3,E,NA,0.0,3.0,3.0,1.31,1,3.0,0,17.89,0,,,,6820.0,,6820.0,,False
1429,NRCS (Michaelson et al. 2013),83AK130049,Humo-Ferric Podzol,55.797,-133.187,HIGH,4,Bh,NA,3.0,9.0,6.0,1.19,1,3.0,0,19.46,0,,,,13478.0,,13478.0,,False
1430,NRCS (Michaelson et al. 2013),83AK130049,Humo-Ferric Podzol,55.797,-133.187,HIGH,5,bf,NA,9.0,26.0,17.0,1.46,1,8.0,0,8.8,0,,,,20094.0,,20094.0,,False
1431,NRCS (Michaelson et al. 2013),83AK130049,Humo-Ferric Podzol,55.797,-133.187,HIGH,6,B / C,NA,26.0,55.0,29.0,1.19,1,12.0,0,7.5,0,,,,22777.0,,22777.0,,False
1432,NRCS (Michaelson et al. 2013),83AK130049,Humo-Ferric Podzol,55.797,-133.187,HIGH,7,C,NA,55.0,80.0,25.0,1.91,1,19.0,0,2.37,0,,,,9167.0,,9167.0,,False
1433,NRCS (Michaelson et al. 2013),83AK130049,Humo-Ferric Podzol,55.797,-133.187,HIGH,8,2Cx,NA,80.0,101.0,21.0,1.91,1,34.0,0,0.88,0,,,,2330.0,,2219.0,,False
1434,NRCS (Michaelson et al. 2013),84AK201007,Ferro-Humic Podzol,55.786,-133.433,HIGH,1,Om,NA,10.0,0.0,10.0,0.12,1,0.0,0,41.88,0,100.0,10.0,110.0,5026.0,56710.0,5026.0,567.1,True
1435,NRCS (Michaelson et al. 2013),84AK201007,Ferro-Humic Podzol,55.786,-133.433,HIGH,2,E,NA,0.0,1.0,1.0,0.93,1,2.0,0,4.12,0,,,,375.0,,375.0,,False
1436,NRCS (Michaelson et al. 2013),84AK201007,Ferro-Humic Podzol,55.786,-133.433,HIGH,3,Bhf1,NA,1.0,5.0,4.0,0.86,1,5.0,0,9.45,0,,,,3088.0,,3088.0,,False
1437,NRCS (Michaelson et al. 2013),84AK201007,Ferro-Humic Podzol,55.786,-133.433,HIGH,4,Bhf2,NA,5.0,20.0,15.0,0.86,1,15.0,0,4.61,0,,,,5055.0,,5055.0,,False
1438,NRCS (Michaelson et al. 2013),84AK201007,Ferro-Humic Podzol,55.786,-133.433,HIGH,5,bf,NA,20.0,43.0,23.0,1.17,1,8.0,0,3.54,0,,,,8764.0,,8764.0,,False
1439,NRCS (Michaelson et al. 2013),84AK201007,Ferro-Humic Podzol,55.786,-133.433,HIGH,6,C,NA,43.0,100.0,57.0,1.74,1,18.0,0,4.23,0,,,,34402.0,,34402.0,,False
1440,NRCS (Michaelson et al. 2013),84AK201008,Ferro-Humic Podzol,55.786,-133.487,HIGH,1,Of,NA,14.0,9.0,5.0,0.08,1,0.0,2,36.67,1,114.0,14.0,128.0,1467.0,58006.0,1467.0,506.98,True
1441,NRCS (Michaelson et al. 2013),84AK201008,Ferro-Humic Podzol,55.786,-133.487,HIGH,2,Oh,NA,9.0,0.0,9.0,0.15,1,0.0,0,24.64,0,,,,3326.0,,3326.0,,False
1442,NRCS (Michaelson et al. 2013),84AK201008,Ferro-Humic Podzol,55.786,-133.487,HIGH,3,Bhf,NA,0.0,5.0,5.0,0.86,1,9.0,0,9.88,0,,,,3866.0,,3866.0,,False
1443,NRCS (Michaelson et al. 2013),84AK201008,Ferro-Humic Podzol,55.786,-133.487,HIGH,4,bf1,NA,5.0,20.0,15.0,1.17,1,13.0,0,4.86,0,,,,7420.0,,7420.0,,False
1444,NRCS (Michaelson et al. 2013),84AK201008,Ferro-Humic Podzol,55.786,-133.487,HIGH,5,bf2,NA,20.0,61.0,41.0,1.17,1,11.0,0,3.34,0,,,,14260.0,,14260.0,,False
1445,NRCS (Michaelson et al. 2013),84AK201008,Ferro-Humic Podzol,55.786,-133.487,HIGH,6,BC,NA,61.0,114.0,53.0,1.71,1,11.0,0,3.43,0,,,,27667.0,,20359.0,,False
1446,NRCS (Michaelson et al. 2013),82AK130005,Humo-Ferric Podzol,55.804,-133.283,HIGH,1,Om / Oh,NA,8.0,0.0,8.0,0.12,1,0.0,0,40.64,1,168.0,8.0,176.0,3901.0,82479.0,3901.0,631.86,True
1447,NRCS (Michaelson et al. 2013),82AK130005,Humo-Ferric Podzol,55.804,-133.283,HIGH,2,E / Bhf,NA,0.0,8.0,8.0,1.31,1,2.0,0,16.12,0,,,,16556.0,,16556.0,,False
1448,NRCS (Michaelson et al. 2013),82AK130005,Humo-Ferric Podzol,55.804,-133.283,HIGH,3,bf1,NA,8.0,43.0,35.0,1.46,1,8.0,0,4.9,0,,,,23036.0,,23036.0,,False
1449,NRCS (Michaelson et al. 2013),82AK130005,Humo-Ferric Podzol,55.804,-133.283,HIGH,4,bf2,NA,43.0,69.0,26.0,1.46,1,10.0,0,3.19,0,,,,10898.0,,10898.0,,False
1450,NRCS (Michaelson et al. 2013),82AK130005,Humo-Ferric Podzol,55.804,-133.283,HIGH,5,BC,NA,69.0,168.0,99.0,1.19,1,9.0,0,2.62,0,,,,28088.0,,8795.0,,False
1451,NRCS (Michaelson et al. 2013),83AK130011,Humo-Ferric Podzol,55.8,-133.283,HIGH,1,Of,NA,30.0,18.0,12.0,0.08,1,0.0,0,53.05,0,99.0,30.0,129.0,5093.0,115476.0,5093.0,1154.76,True
1452,NRCS (Michaelson et al. 2013),83AK130011,Humo-Ferric Podzol,55.8,-133.283,HIGH,2,Oh,NA,18.0,0.0,18.0,0.15,1,0.0,0,55.0,0,,,,14850.0,,14850.0,,False
1453,NRCS (Michaelson et al. 2013),83AK130011,Humo-Ferric Podzol,55.8,-133.283,HIGH,3,E,NA,0.0,7.0,7.0,1.31,1,2.0,0,4.02,0,,,,3613.0,,3613.0,,False
1454,NRCS (Michaelson et al. 2013),83AK130011,Humo-Ferric Podzol,55.8,-133.283,HIGH,4,Bhf,NA,7.0,41.0,34.0,1.19,1,1.0,0,9.0,0,,,,36050.0,,36050.0,,False
