id,source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,ccontent,total_c,ccontent_1m,total_c_1m
36,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,4,Hh2,1680.0,,1680.0,
37,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,5,Hh3,6101.0,,6101.0,
38,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,6,Hh4,5234.0,,5234.0,
39,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,7,Ae,6144.0,,6144.0,
40,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,8,Bhc1,6811.0,,6811.0,
41,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,9,Bhc2,10278.0,,10278.0,
42,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,10,Bfc,772.0,,772.0,
43,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,11,BC,1631.0,,544.0,
44,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,12,Cg,381.0,,0.0,
45,SANBORN & MASSICOTTE 2010,BC09-07,NA,54.06908333,-131.6772222,HIGH,1,NA,,0.0,,0.0
46,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,1,Oi,544.0,97884.0,544.0,978.84
47,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,2,Oe,2656.0,,2656.0,
48,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,3,Oa,4162.0,,4162.0,
49,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,4,E,1311.0,,1311.0,
50,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,5,Bhs1,14843.0,,14843.0,
51,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,6,Bhs2,36338.0,,36338.0,
52,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,7,Bhs3,38030.0,,38030.0,
53,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,1,Oa,2739.0,86992.0,2739.0,869.92
54,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,2,Oa,3082.0,,3082.0,
55,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,3,E,1023.0,,1023.0,
56,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,4,Bhs2,21854.0,,21854.0,
57,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,5,Bhs2,23085.0,,23085.0,
58,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,6,Bhs3,11970.0,,11970.0,
59,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,7,Bhs4,20349.0,,20349.0,
60,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,8,Bms,2890.0,,2890.0,
61,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,1,Oi,1034.0,355850.0,1034.0,1516.42
62,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,2,Oe,1706.0,,1706.0,
63,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,3,Oa,3313.0,,3313.0,
64,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,4,Bhs1,49932.0,,49932.0,
65,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,5,Bhs2,57507.0,,57507.0,
66,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,6,Bhs3,76300.0,,38150.0,
67,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,7,Bhs4,26847.0,,0.0,
68,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,8,Bhs5,71495.0,,0.0,
69,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,9,Bhs6,67716.0,,0.0,
70,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,1,LF,1608.0,9906.0,1608.0,97.7
71,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,2,H,1293.0,,1293.0,
72,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,3,Bfh,1809.0,,1809.0,
73,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,4,Bf1,1246.0,,1246.0,
74,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,5,Bf2,1174.0,,1174.0,
75,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,6,Bf3,1023.0,,1023.0,
76,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,7,Bfgj1,894.0,,894.0,
77,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,8,Bfgj2,450.0,,450.0,
78,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,9,BCd,409.0,,273.0,
79,LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,10,C,,,,
80,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,1,LF,1184.0,25911.0,1184.0,256.87
81,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,2,H,3553.0,,3553.0,
82,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,3,Bhf,4946.0,,4946.0,
83,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,4,Bfh1,3193.0,,3193.0,
84,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,5,Bfh2,2903.0,,2903.0,
85,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,6,Bfh3,2838.0,,2838.0,
86,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,7,Bfh4,2920.0,,2920.0,
87,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,8,Bfhgj,3702.0,,3702.0,
88,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,9,BCd,672.0,,448.0,
89,LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,10,C,,,,
90,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,1,LF,2185.0,19903.0,2185.0,170.21
91,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,2,H,1844.0,,1844.0,
92,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,3,Bf1,2799.0,,2799.0,
93,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,4,Bf2,1925.0,,1925.0,
94,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,5,Bf3,1888.0,,1888.0,
95,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,6,Bfgj1,2145.0,,2145.0,
96,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,7,Bfgh2,6776.0,,4235.0,
97,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,8,BCd,341.0,,0.0,
98,LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,9,C,,,,
99,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,1,LF,1688.0,20944.0,1688.0,208.2
100,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,2,H,5125.0,,5125.0,
