id,source,pedon_id,order,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,ccontent,ccontent_1m
485,Moon &  Selby 1988 Rep 64,1887,Orthic Humo-Ferric Podzol,2,Ae,Mineral,0.0,,1.0,1.31,1,0.0,1,1.6,1,210.0,210.0
486,Moon &  Selby 1988 Rep 64,1887,Orthic Humo-Ferric Podzol,3,Bf,Mineral,1.0,,22.0,1.46,1,40.0,1,4.37,0,8422.0,8422.0
487,Moon &  Selby 1988 Rep 64,1887,Orthic Humo-Ferric Podzol,4,IIBm,Mineral,23.0,,77.0,1.19,1,70.0,1,0.93,0,2556.0,2556.0
488,Moon &  Selby 1988 Rep 64,1888,Gleyed Ferro-Humic Podzol,1,F,Organic,-20.0,,4.0,0.11,1,0.0,1,50.2,1,2209.0,2209.0
489,Moon &  Selby 1988 Rep 64,1888,Gleyed Ferro-Humic Podzol,2,H,Organic,-16.0,,16.0,0.11,1,0.0,1,50.26,0,8846.0,8846.0
490,Moon &  Selby 1988 Rep 64,1888,Gleyed Ferro-Humic Podzol,3,Ae,Mineral,0.0,,1.0,0.93,1,0.0,1,3.0,1,279.0,279.0
491,Moon &  Selby 1988 Rep 64,1888,Gleyed Ferro-Humic Podzol,4,Bhf,Mineral,1.0,,24.0,0.86,1,45.0,1,6.65,0,7549.0,7549.0
492,Moon &  Selby 1988 Rep 64,1888,Gleyed Ferro-Humic Podzol,5,Bfgj,Mineral,25.0,,35.0,1.17,1,45.0,1,3.72,0,8378.0,8378.0
493,Moon &  Selby 1988 Rep 64,1888,Gleyed Ferro-Humic Podzol,6,Bhfgj,Mineral,60.0,,30.0,0.86,1,45.0,1,6.85,0,9720.0,9720.0
494,Moon &  Selby 1988 Rep 64,1888,Gleyed Ferro-Humic Podzol,7,Bg,Mineral,90.0,,10.0,0.86,1,45.0,1,3.7,1,1750.0,1750.0
495,Moon &  Selby 1988 Rep 64,1889,Orthic Ferro-Humic Podzol,1,F,Organic,-14.0,,7.0,0.11,1,0.0,1,49.25,0,3792.0,3792.0
496,Moon &  Selby 1988 Rep 64,1889,Orthic Ferro-Humic Podzol,2,H,Organic,-7.0,,7.0,0.11,1,0.0,1,37.56,0,2892.0,2892.0
497,Moon &  Selby 1988 Rep 64,1889,Orthic Ferro-Humic Podzol,3,Bhf1,Mineral,0.0,,6.5,0.86,1,20.0,1,9.87,0,4414.0,4414.0
498,Moon &  Selby 1988 Rep 64,1889,Orthic Ferro-Humic Podzol,4,Bhf2,Mineral,6.5,,6.5,0.86,1,35.0,1,14.21,0,5163.0,5163.0
499,Moon &  Selby 1988 Rep 64,1889,Orthic Ferro-Humic Podzol,5,Bhf3,Mineral,13.0,,34.0,0.86,1,5.0,1,11.57,0,32139.0,32139.0
500,Moon &  Selby 1988 Rep 64,1889,Orthic Ferro-Humic Podzol,6,Rock,Mineral,47.0,,53.0,,0,0.0,2,,0,,
501,Moon &  Selby 1988 Rep 64,1890,Gleyed Humo-Ferric Podzol,1,F,Organic,-18.0,,1.0,0.14,1,0.0,1,49.2,1,689.0,689.0
502,Moon &  Selby 1988 Rep 64,1890,Gleyed Humo-Ferric Podzol,2,H,Organic,-17.0,,17.0,0.14,1,0.0,1,52.47,0,12488.0,12488.0
503,Moon &  Selby 1988 Rep 64,1890,Gleyed Humo-Ferric Podzol,3,Ae,Mineral,0.0,,3.0,1.31,1,0.0,1,1.2,1,472.0,472.0
504,Moon &  Selby 1988 Rep 64,1890,Gleyed Humo-Ferric Podzol,4,Bf,Mineral,3.0,,17.0,1.46,1,65.0,1,4.65,0,4039.0,4039.0
505,Moon &  Selby 1988 Rep 64,1890,Gleyed Humo-Ferric Podzol,5,Bhfg,Mineral,20.0,,12.0,1.57,1,0.0,1,5.38,0,10136.0,10136.0
506,Moon &  Selby 1988 Rep 64,1890,Gleyed Humo-Ferric Podzol,6,Rock,Mineral,32.0,,68.0,,0,0.0,1,,0,,
507,Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,1,F,Organic,-10.0,,2.0,0.11,1,0.0,1,49.2,1,1082.0,1082.0
508,Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,2,H1,Organic,-8.0,,3.0,0.11,1,0.0,1,50.3,1,1660.0,1660.0
509,Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,3,H2,Organic,-5.0,,5.0,0.11,1,0.0,1,50.3,1,2766.0,2766.0
510,Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,4,Ahe,Mineral,0.0,,3.0,0.93,1,40.0,1,14.42,0,2414.0,2414.0
511,Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,5,Bhfg1,Mineral,3.0,,15.0,0.86,1,40.0,1,5.36,0,4149.0,4149.0
512,Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,6,Bhfg2,Mineral,18.0,,14.0,0.86,1,40.0,1,6.31,0,4558.0,4558.0
513,Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,7,Bfg,Mineral,32.0,,8.0,1.17,1,40.0,1,4.7,0,2640.0,2640.0
514,Moon &  Selby 1988 Rep 64,1891,Gleyed Ferro-Humic Podzol,8,Bg,Mineral,40.0,,60.0,0.86,1,22.0,1,4.7,1,18917.0,18917.0
515,Moon &  Selby 1988 Rep 64,1892,Orthic Dystric Brunisol,1,Ah,Mineral,0.0,,4.0,1.07,1,0.0,1,15.15,0,6484.0,6484.0
516,Moon &  Selby 1988 Rep 64,1892,Orthic Dystric Brunisol,2,Bf,Mineral,4.0,,6.0,1.03,1,0.0,1,1.9,0,1174.0,1174.0
517,Moon &  Selby 1988 Rep 64,1892,Orthic Dystric Brunisol,3,IIBm,Mineral,10.0,,25.0,1.45,1,15.0,1,0.22,0,678.0,678.0
518,Moon &  Selby 1988 Rep 64,1892,Orthic Dystric Brunisol,4,IIC,Mineral,35.0,,65.0,1.38,1,70.0,1,0.26,0,700.0,700.0
519,Moon &  Selby 1988 Rep 64,1893,Orthic Humo-Ferric Podzol,1,LF,Organic,-1.0,,1.0,0.14,1,0.0,1,39.5,1,553.0,553.0
520,Moon &  Selby 1988 Rep 64,1893,Orthic Humo-Ferric Podzol,2,Ah,Mineral,0.0,,3.0,1.31,1,0.0,1,9.1,1,3576.0,3576.0
521,Moon &  Selby 1988 Rep 64,1893,Orthic Humo-Ferric Podzol,3,Bf,Mineral,3.0,,15.0,1.46,1,0.0,1,1.86,0,4073.0,4073.0
522,Moon &  Selby 1988 Rep 64,1893,Orthic Humo-Ferric Podzol,4,IBf,Mineral,18.0,,20.0,1.46,1,0.0,1,3.0,0,8760.0,8760.0
523,Moon &  Selby 1988 Rep 64,1893,Orthic Humo-Ferric Podzol,5,IIBf,Mineral,38.0,,20.0,1.46,1,0.0,1,4.69,0,13695.0,13695.0
524,Moon &  Selby 1988 Rep 64,1893,Orthic Humo-Ferric Podzol,6,IIIC,Mineral,58.0,,42.0,1.63,1,91.0,1,0.3,1,185.0,185.0
525,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,1,LF,Organic,-11.0,,1.0,0.14,1,0.0,1,39.5,1,553.0,553.0
526,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,2,H,Organic,-10.0,,10.0,0.14,1,0.0,1,48.82,0,6835.0,6835.0
527,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,3,Ae,Mineral,0.0,,3.0,1.31,1,0.0,1,1.6,1,629.0,629.0
528,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,4,Bf1,Mineral,3.0,,13.0,1.46,1,0.0,1,3.11,0,5903.0,5903.0
529,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,5,Bf2,Mineral,16.0,,23.0,1.46,1,0.0,1,0.58,0,1948.0,1948.0
530,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,6,IIBm,Mineral,39.0,,10.0,1.19,1,0.0,1,2.68,0,3189.0,3189.0
531,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,7,IIIBm,Mineral,49.0,,14.0,1.19,1,0.0,1,1.75,0,2915.0,2915.0
532,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,8,IVC,Mineral,63.0,,12.0,1.63,1,30.0,1,0.3,1,411.0,411.0
533,Moon &  Selby 1988 Rep 64,1894,Orthic Humo-Ferric Podzol,9,VC,Mineral,75.0,,25.0,1.63,1,0.0,2,0.3,1,1222.0,1222.0
534,Moon &  Selby 1988 Rep 64,1895,Gleyed Ferro-Humic Podzol,1,F,Organic,-11.0,,6.0,0.11,1,0.0,1,49.2,1,3247.0,3247.0
535,Moon &  Selby 1988 Rep 64,1895,Gleyed Ferro-Humic Podzol,2,H,Organic,-5.0,,5.0,0.11,1,0.0,1,50.3,1,2766.0,2766.0
536,Moon &  Selby 1988 Rep 64,1895,Gleyed Ferro-Humic Podzol,3,Ae,Mineral,0.0,,1.0,0.93,1,45.0,1,3.0,1,153.0,153.0
537,Moon &  Selby 1988 Rep 64,1895,Gleyed Ferro-Humic Podzol,4,Bhf,Mineral,1.0,,11.0,0.86,1,45.0,1,10.14,0,5276.0,5276.0
538,Moon &  Selby 1988 Rep 64,1895,Gleyed Ferro-Humic Podzol,5,Bhfg,Mineral,12.0,,38.0,0.86,1,45.0,1,9.11,0,16374.0,16374.0
539,Moon &  Selby 1988 Rep 64,1895,Gleyed Ferro-Humic Podzol,6,Bhfg2,Mineral,50.0,,30.0,0.86,1,45.0,1,9.43,0,13381.0,13381.0
540,Moon &  Selby 1988 Rep 64,1895,Gleyed Ferro-Humic Podzol,7,Bhfg3,Mineral,80.0,,20.0,0.86,1,45.0,1,8.31,0,7861.0,7861.0
541,Moon &  Selby 1988 Rep 64,1896,Gleyed Ferro-Humic Podzol,1,FH,Organic,-24.0,,24.0,0.11,1,0.0,1,50.24,0,13263.0,13263.0
542,Moon &  Selby 1988 Rep 64,1896,Gleyed Ferro-Humic Podzol,2,Bhf,Mineral,0.0,,28.0,0.86,1,55.0,1,12.51,0,13556.0,13556.0
543,Moon &  Selby 1988 Rep 64,1896,Gleyed Ferro-Humic Podzol,3,Bhf2,Mineral,28.0,,24.0,0.86,1,52.0,1,6.47,0,6410.0,6410.0
544,Moon &  Selby 1988 Rep 64,1896,Gleyed Ferro-Humic Podzol,4,Bhfgj,Mineral,52.0,,12.0,0.86,1,70.0,1,8.3,1,2570.0,2570.0
545,Moon &  Selby 1988 Rep 64,1896,Gleyed Ferro-Humic Podzol,5,Cgj,Mineral,64.0,,12.0,1.74,1,70.0,1,0.3,1,188.0,188.0
546,Moon &  Selby 1988 Rep 64,1896,Gleyed Ferro-Humic Podzol,6,Rock,Mineral,76.0,,24.0,,0,0.0,2,,0,,
547,Moon &  Selby 1988 Rep 64,1898,Gleyed Humo-Ferric Podzol,1,Ah,Mineral,0.0,,10.0,1.31,1,0.0,1,9.1,0,11921.0,11921.0
548,Moon &  Selby 1988 Rep 64,1898,Gleyed Humo-Ferric Podzol,2,Bfg,Mineral,10.0,,30.0,1.57,1,0.0,1,2.76,0,13000.0,13000.0
549,Moon &  Selby 1988 Rep 64,1898,Gleyed Humo-Ferric Podzol,3,IIBg,Mineral,40.0,,14.0,1.57,1,5.0,1,0.92,0,1921.0,1921.0
550,Moon &  Selby 1988 Rep 64,1898,Gleyed Humo-Ferric Podzol,4,IIIBg,Mineral,54.0,,24.0,1.57,1,95.0,1,0.9,1,170.0,170.0
551,Moon &  Selby 1988 Rep 64,1898,Gleyed Humo-Ferric Podzol,5,IVBfg,Mineral,78.0,,22.0,1.57,1,0.0,1,1.65,0,5699.0,5699.0
552,Moon &  Selby 1988 Rep 64,1899,Gleyed Humo-Ferric Podzol,1,H,Organic,-2.0,,2.0,0.14,1,0.0,1,50.3,1,1408.0,1408.0
553,Moon &  Selby 1988 Rep 64,1899,Gleyed Humo-Ferric Podzol,2,Bhf,Mineral,0.0,,6.0,0.87,1,5.0,1,5.08,0,2519.0,2519.0
554,Moon &  Selby 1988 Rep 64,1899,Gleyed Humo-Ferric Podzol,3,Bf,Mineral,6.0,,28.0,1.46,1,5.0,1,1.85,0,7185.0,7185.0
555,Moon &  Selby 1988 Rep 64,1899,Gleyed Humo-Ferric Podzol,4,IIBf,Mineral,34.0,,16.0,1.46,1,10.0,1,0.76,0,1598.0,1598.0
556,Moon &  Selby 1988 Rep 64,1899,Gleyed Humo-Ferric Podzol,5,IIIBm,Mineral,50.0,,44.0,1.19,1,40.0,1,0.33,0,1037.0,1037.0
557,Moon &  Selby 1988 Rep 64,1899,Gleyed Humo-Ferric Podzol,6,IVBg1,Mineral,94.0,,6.0,1.57,1,0.0,1,0.76,0,716.0,716.0
558,Moon &  Selby 1988 Rep 64,1901,Orthic Ferro-Humic Podzol,1,H,Organic,-8.0,,8.0,0.11,1,0.0,1,53.82,0,4736.0,4736.0
559,Moon &  Selby 1988 Rep 64,1901,Orthic Ferro-Humic Podzol,2,Ae,Mineral,0.0,,1.0,0.93,1,80.0,1,3.2,1,60.0,60.0
560,Moon &  Selby 1988 Rep 64,1901,Orthic Ferro-Humic Podzol,3,Bhf,Mineral,1.0,,3.0,0.86,1,80.0,1,6.61,0,341.0,341.0
561,Moon &  Selby 1988 Rep 64,1901,Orthic Ferro-Humic Podzol,4,Bhf1,Mineral,4.0,,16.0,0.86,1,80.0,1,5.61,0,1544.0,1544.0
562,Moon &  Selby 1988 Rep 64,1901,Orthic Ferro-Humic Podzol,5,Bf1,Mineral,20.0,,25.0,1.17,1,80.0,1,4.02,0,2352.0,2352.0
563,Moon &  Selby 1988 Rep 64,1901,Orthic Ferro-Humic Podzol,6,Bf2,Mineral,45.0,,15.0,1.17,1,80.0,1,2.08,0,730.0,730.0
564,Moon &  Selby 1988 Rep 64,1901,Orthic Ferro-Humic Podzol,7,IIBf3,Mineral,60.0,,40.0,1.17,1,80.0,1,2.16,0,2022.0,2022.0
565,Moon &  Selby 1988 Rep 64,1902,Orthic Ferro-Humic Podzol,1,LF,Organic,-10.0,,1.0,0.11,1,0.0,1,42.6,1,469.0,469.0
566,Moon &  Selby 1988 Rep 64,1902,Orthic Ferro-Humic Podzol,2,H,Organic,-9.0,,9.0,0.11,1,0.0,1,53.53,0,5299.0,5299.0
567,Moon &  Selby 1988 Rep 64,1902,Orthic Ferro-Humic Podzol,3,Ae,Mineral,0.0,,7.0,0.93,1,0.0,1,3.2,1,2083.0,2083.0
568,Moon &  Selby 1988 Rep 64,1902,Orthic Ferro-Humic Podzol,4,Bhf,Mineral,7.0,,21.0,0.86,1,80.0,1,8.12,0,2933.0,2933.0
569,Moon &  Selby 1988 Rep 64,1902,Orthic Ferro-Humic Podzol,5,Bf,Mineral,28.0,,37.0,1.17,1,80.0,1,3.62,0,3134.0,3134.0
570,Moon &  Selby 1988 Rep 64,1902,Orthic Ferro-Humic Podzol,6,IIBf,Mineral,65.0,,35.0,1.17,1,80.0,1,2.97,0,2432.0,2432.0
571,Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,1,LF,Organic,-13.0,,2.0,0.11,1,0.0,1,42.6,1,937.0,937.0
572,Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,2,H,Organic,-11.0,,11.0,0.11,1,0.0,1,30.44,0,3683.0,3683.0
573,Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,3,Bhf,Mineral,0.0,,9.0,0.86,1,15.0,1,12.88,0,8474.0,8474.0
574,Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,4,IIBf,Mineral,9.0,,21.0,1.17,1,80.0,1,1.68,0,826.0,826.0
575,Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,5,IIIBhf,Mineral,30.0,,20.0,0.86,1,0.0,1,14.08,0,24218.0,24218.0
576,Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,6,IVBm,Mineral,50.0,,14.0,0.86,1,50.0,1,0.76,0,458.0,458.0
577,Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,7,VBhf,Mineral,64.0,,7.0,0.86,1,0.0,1,13.54,0,8151.0,8151.0
578,Moon &  Selby 1988 Rep 64,1903,Orthic Ferro-Humic Podzol,8,VIBhf,Mineral,71.0,,29.0,0.86,1,95.0,1,3.1,0,387.0,387.0
579,Moon &  Selby 1988 Rep 64,1904,Orthic Humo-Ferric Podzol,1,LF,Organic,-1.0,,1.0,0.14,1,0.0,1,39.5,1,553.0,553.0
580,Moon &  Selby 1988 Rep 64,1904,Orthic Humo-Ferric Podzol,2,Ah,Mineral,0.0,,3.0,1.31,1,0.0,1,9.1,1,3576.0,3576.0
581,Moon &  Selby 1988 Rep 64,1904,Orthic Humo-Ferric Podzol,3,Bf,Mineral,3.0,,13.0,1.46,1,65.0,1,3.22,0,2139.0,2139.0
582,Moon &  Selby 1988 Rep 64,1904,Orthic Humo-Ferric Podzol,4,IIBf1,Mineral,16.0,,30.0,1.46,1,65.0,1,0.65,0,996.0,996.0
583,Moon &  Selby 1988 Rep 64,1904,Orthic Humo-Ferric Podzol,5,IIBf2,Mineral,46.0,,54.0,1.46,1,65.0,1,0.55,0,1518.0,1518.0
584,Van Vliet et al. 1987 Rep bc43-1,2365,Gleyed Humo-Ferric Podzol,1,LF,Organic,-4.0,,4.0,0.14,1,0.0,1,30.6,0,1714.0,1714.0
585,Van Vliet et al. 1987 Rep bc43-1,2365,Gleyed Humo-Ferric Podzol,2,Ah,Mineral,0.0,,6.0,1.31,1,0.0,1,13.9,0,10925.0,10925.0
586,Van Vliet et al. 1987 Rep bc43-1,2365,Gleyed Humo-Ferric Podzol,3,Bf1,Mineral,6.0,,9.0,1.46,1,0.0,1,1.9,0,2497.0,2497.0
587,Van Vliet et al. 1987 Rep bc43-1,2365,Gleyed Humo-Ferric Podzol,4,Bf2,Mineral,15.0,,35.0,1.46,1,0.0,1,1.3,0,6643.0,6643.0
588,Van Vliet et al. 1987 Rep bc43-1,2365,Gleyed Humo-Ferric Podzol,5,Bf3,Mineral,50.0,,25.0,1.46,1,0.0,1,1.1,0,4015.0,4015.0
589,Van Vliet et al. 1987 Rep bc43-1,2365,Gleyed Humo-Ferric Podzol,6,Bgj,Mineral,75.0,,15.0,1.57,1,0.0,1,0.9,0,2120.0,2120.0
590,Van Vliet et al. 1987 Rep bc43-1,2365,Gleyed Humo-Ferric Podzol,7,BCg,Mineral,90.0,,10.0,1.57,1,30.0,1,0.4,0,440.0,440.0
591,Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,1,LF,Organic,-1.0,,1.0,0.16,1,0.0,1,31.3,0,501.0,501.0
592,Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,2,Ah,Mineral,0.0,,2.0,1.07,1,5.0,1,8.0,0,1626.0,1626.0
593,Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,3,Bm1,Mineral,2.0,,23.0,1.45,1,30.0,1,1.6,0,3735.0,3735.0
594,Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,4,Bm2,Mineral,25.0,,15.0,1.45,1,30.0,1,2.0,0,3045.0,3045.0
595,Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,5,Bm3,Mineral,40.0,,10.0,1.45,1,50.0,1,0.5,0,362.0,362.0
596,Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,6,C1,Mineral,50.0,,30.0,1.38,1,60.0,1,0.2,0,331.0,331.0
597,Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,7,C2,Mineral,80.0,,10.0,1.38,1,60.0,1,0.2,0,110.0,110.0
598,Van Vliet et al. 1987 Rep bc43-1,2368,Orthic Dystric Brunisol,8,C3,Mineral,90.0,,10.0,1.38,1,60.0,1,0.1,0,55.0,55.0
599,Van Vliet et al. 1987 Rep bc43-1,2372,Orthic Sombric Brunisol,1,LF,Organic,-3.0,,3.0,0.16,1,0.0,1,36.2,0,1738.0,1738.0
600,Van Vliet et al. 1987 Rep bc43-1,2372,Orthic Sombric Brunisol,2,Ah,Mineral,0.0,,11.0,1.07,1,20.0,1,7.1,0,6685.0,6685.0
601,Van Vliet et al. 1987 Rep bc43-1,2372,Orthic Sombric Brunisol,3,Bm1,Mineral,11.0,,19.0,1.62,1,25.0,1,1.5,0,3463.0,3463.0
602,Van Vliet et al. 1987 Rep bc43-1,2372,Orthic Sombric Brunisol,4,Bm2,Mineral,30.0,,20.0,1.62,1,60.0,1,1.3,0,1685.0,1685.0
603,Van Vliet et al. 1987 Rep bc43-1,2372,Orthic Sombric Brunisol,5,CB,Mineral,50.0,,30.0,1.62,1,90.0,1,1.4,1,680.0,680.0
604,Van Vliet et al. 1987 Rep bc43-1,2372,Orthic Sombric Brunisol,6,Rock,Mineral,80.0,,20.0,,0,0.0,2,,0,,
605,Kenney et al. 1988 Rep bc43-2,2379,Gleyed Brunisolic Gray Luvisol,1,LFH,Organic,-4.0,,4.0,0.15,1,0.0,1,29.6,0,1776.0,1776.0
606,Kenney et al. 1988 Rep bc43-2,2379,Gleyed Brunisolic Gray Luvisol,2,Bm1,Mineral,0.0,,20.0,1.51,1,10.0,1,2.3,0,6251.0,6251.0
607,Kenney et al. 1988 Rep bc43-2,2379,Gleyed Brunisolic Gray Luvisol,3,Bm2,Mineral,20.0,,9.0,1.51,1,5.0,1,1.3,0,1678.0,1678.0
608,Kenney et al. 1988 Rep bc43-2,2379,Gleyed Brunisolic Gray Luvisol,4,IIAegj,Mineral,29.0,,8.0,1.25,1,2.5,1,0.6,0,585.0,585.0
609,Kenney et al. 1988 Rep bc43-2,2379,Gleyed Brunisolic Gray Luvisol,5,IIBtg,Mineral,37.0,,28.0,1.51,1,0.0,1,0.7,0,2960.0,2960.0
610,Kenney et al. 1988 Rep bc43-2,2379,Gleyed Brunisolic Gray Luvisol,6,IICBg,Mineral,65.0,,15.0,1.51,1,0.0,1,0.5,0,1132.0,1132.0
611,Kenney et al. 1988 Rep bc43-2,2379,Gleyed Brunisolic Gray Luvisol,7,IICg1,Mineral,80.0,,20.0,1.66,1,0.0,1,0.4,0,1328.0,1328.0
612,Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,1,LF,Organic,-3.0,,3.0,0.16,1,0.0,1,41.9,0,2011.0,2011.0
613,Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,2,Ah,Mineral,0.0,,4.0,1.07,1,50.0,1,6.2,0,1327.0,1327.0
614,Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,3,Bf,Mineral,4.0,,8.0,1.03,1,40.0,1,1.9,0,939.0,939.0
615,Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,4,Bm1,Mineral,12.0,,38.0,1.45,1,40.0,1,1.2,0,3967.0,3967.0
616,Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,5,Bm2,Mineral,50.0,,10.0,1.45,1,30.0,1,0.6,0,609.0,609.0
617,Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,6,IIBCgj,Mineral,60.0,,5.0,1.45,1,15.0,1,0.5,1,308.0,308.0
618,Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,7,IICg,Mineral,65.0,,15.0,1.38,1,30.0,1,0.3,1,435.0,435.0
619,Kenney et al. 1988 Rep bc43-2,2383,Orthic Dystric Brunisol,8,IICcg,Mineral,80.0,,20.0,1.38,1,25.0,1,0.3,1,621.0,621.0
620,Oswald 1973 Rep BC-43,2888,Orthic Humic Podzol,1,LFH,Organic,-15.0,,15.0,0.11,1,0.0,1,29.6,0,4884.0,4884.0
621,Oswald 1973 Rep BC-43,2888,Orthic Humic Podzol,2,Ah,Mineral,0.0,,20.0,0.93,1,27.5,1,7.3,0,9844.0,9844.0
622,Oswald 1973 Rep BC-43,2888,Orthic Humic Podzol,3,Bh,Mineral,20.0,,23.0,0.86,1,37.0,1,8.8,0,10966.0,10966.0
623,Oswald 1973 Rep BC-43,2888,Orthic Humic Podzol,4,C,Mineral,43.0,,57.0,1.74,1,29.5,1,2.5,0,17480.0,17480.0
624,Oswald 1973 Rep BC-43,2889,Sombric Humo-Ferric Podzol,1,LFH,Organic,-8.0,,8.0,0.14,1,0.0,1,52.4,0,5869.0,5869.0
625,Oswald 1973 Rep BC-43,2889,Sombric Humo-Ferric Podzol,2,Ah,Mineral,0.0,,15.0,1.31,1,37.0,1,6.0,0,7428.0,7428.0
626,Oswald 1973 Rep BC-43,2889,Sombric Humo-Ferric Podzol,3,Bf1,Mineral,15.0,,25.0,1.38,1,34.5,1,4.4,0,9943.0,9943.0
627,Oswald 1973 Rep BC-43,2889,Sombric Humo-Ferric Podzol,4,Bf2,Mineral,40.0,,31.0,1.38,1,39.0,1,4.0,0,10438.0,10438.0
628,Oswald 1973 Rep BC-43,2889,Sombric Humo-Ferric Podzol,5,Bf3,Mineral,71.0,,18.0,1.38,1,37.5,1,7.1,0,11023.0,11023.0
629,Oswald 1973 Rep BC-43,2889,Sombric Humo-Ferric Podzol,6,Bf4,Mineral,89.0,,11.0,1.38,1,41.5,1,14.5,0,12876.0,12876.0
630,Oswald 1973 Rep BC-43,2890,Orthic Ferro-Humic Podzol,1,LFH,Organic,-30.0,,30.0,0.11,1,0.0,1,44.3,0,14619.0,14619.0
631,Oswald 1973 Rep BC-43,2890,Orthic Ferro-Humic Podzol,2,Ae,Mineral,0.0,,20.0,0.93,1,18.5,1,1.5,0,2274.0,2274.0
632,Oswald 1973 Rep BC-43,2890,Orthic Ferro-Humic Podzol,3,Bhf1,Mineral,20.0,,26.0,0.86,1,23.0,1,5.1,0,8781.0,8781.0
633,Oswald 1973 Rep BC-43,2890,Orthic Ferro-Humic Podzol,4,Bhf2,Mineral,46.0,,54.0,0.86,1,25.5,1,4.7,0,16261.0,16261.0
634,Oswald 1973 Rep BC-43,2891,Orthic Humic Podzol,1,LFH,Organic,-35.0,,35.0,0.11,1,0.0,1,44.2,0,17017.0,17017.0
635,Oswald 1973 Rep BC-43,2891,Orthic Humic Podzol,2,Ae,Mineral,0.0,,10.0,0.93,1,18.5,1,4.8,0,3638.0,3638.0
636,Oswald 1973 Rep BC-43,2891,Orthic Humic Podzol,3,Bh,Mineral,10.0,,23.0,0.86,1,29.0,1,10.0,0,14044.0,14044.0
637,Oswald 1973 Rep BC-43,2891,Orthic Humic Podzol,4,BC,Mineral,33.0,,67.0,1.71,1,32.0,1,4.6,0,35837.0,35837.0
638,Oswald 1973 Rep BC-43,2892,Orthic Humo-Ferric Podzol,1,LFH,Organic,-8.0,,8.0,0.14,1,0.0,1,35.4,0,3965.0,3965.0
639,Oswald 1973 Rep BC-43,2892,Orthic Humo-Ferric Podzol,2,Ah,Mineral,0.0,,8.0,1.31,1,29.0,1,23.9,0,17784.0,17784.0
640,Oswald 1973 Rep BC-43,2892,Orthic Humo-Ferric Podzol,3,Bhf1,Mineral,8.0,,12.0,0.87,1,25.5,1,12.7,0,9878.0,9878.0
641,Oswald 1973 Rep BC-43,2892,Orthic Humo-Ferric Podzol,4,Bhf2,Mineral,20.0,,17.0,0.87,1,14.5,1,16.7,0,21118.0,21118.0
642,Oswald 1973 Rep BC-43,2892,Orthic Humo-Ferric Podzol,5,Rock,Mineral,37.0,,63.0,,0,0.0,2,,0,,
