id,source,pedon_id,order,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,ccontent,ccontent_1m
36,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,4,Hh2,,23.0,20.0,3.0,0.11,0,0.0,2,50.9,0,1680.0,1680.0
37,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,5,Hh3,,20.0,10.0,10.0,0.11,0,0.0,2,55.46,0,6101.0,6101.0
38,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,6,Hh4,,10.0,0.0,10.0,0.11,0,0.0,2,47.58,0,5234.0,5234.0
39,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,7,Ae,,0.0,-10.0,10.0,1.39,0,0.0,2,4.42,0,6144.0,6144.0
40,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,8,Bhc1,,-10.0,-35.0,25.0,1.39,0,0.0,2,1.96,0,6811.0,6811.0
41,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,9,Bhc2,,-35.0,-82.0,47.0,1.54,0,0.0,2,1.42,0,10278.0,10278.0
42,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,10,Bfc,,-82.0,-85.0,3.0,1.54,0,0.0,2,1.67,0,772.0,772.0
43,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,11,BC,,-85.0,-130.0,45.0,1.45,0,0.0,2,0.25,0,1631.0,544.0
44,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,12,Cg,,-130.0,-162.0,32.0,1.49,0,0.0,2,0.08,0,381.0,0.0
45,SANBORN & MASSICOTTE 2010,BC09-07,,1,,,,,,,0,0.0,2,,0,,
46,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,1,Oi,,14.0,13.0,1.0,0.11,0,0.0,2,49.5,0,544.0,544.0
47,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,2,Oe,,13.0,8.0,5.0,0.11,0,0.0,2,48.3,0,2656.0,2656.0
48,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,3,Oa,,8.0,0.0,8.0,0.11,0,0.0,2,47.3,0,4162.0,4162.0
49,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,4,E,,0.0,-3.0,3.0,0.93,0,0.0,2,4.7,0,1311.0,1311.0
50,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,5,Bhs1,,-3.0,-10.0,7.0,1.71,0,0.0,2,12.4,0,14843.0,14843.0
51,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,6,Bhs2,,-10.0,-35.0,25.0,1.71,0,0.0,2,8.5,0,36338.0,36338.0
52,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,7,Bhs3,,-35.0,-51.0,16.0,1.71,0,0.0,2,13.9,0,38030.0,38030.0
53,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,1,Oa,,11.0,6.0,5.0,0.11,0,0.0,2,49.8,0,2739.0,2739.0
54,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,2,Oa,,6.0,0.0,6.0,0.11,0,0.0,2,46.7,0,3082.0,3082.0
55,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,3,E,,0.0,-2.0,2.0,0.93,0,0.0,2,5.5,0,1023.0,1023.0
56,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,4,Bhs2,,-2.0,-20.0,18.0,1.71,0,0.0,2,7.1,0,21854.0,21854.0
57,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,5,Bhs2,,-20.0,-35.0,15.0,1.71,0,0.0,2,9.0,0,23085.0,23085.0
