Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
23,NRCS (Michaelson et al. 2013),95AK110004,"Coarse-loamy, mixed, isofrigid Typic Haplocryod",58.297,-134.551,HIGH,NA,NA,NA,Bh,11,15,4,,,,0.00,0.86,0.86,4,12.02,3969,,3969,,,,,,,,,,Humic Podzol,Bh,,0
24,NRCS (Michaelson et al. 2013),95AK110004,"Coarse-loamy, mixed, isofrigid Typic Haplocryod",58.297,-134.551,HIGH,NA,NA,NA,Bs1,15,20,5,,,,0.68,1.17,0.68,6,5.28,1687,,1687,,,,,,,,,,Humic Podzol,bf1,,0
25,NRCS (Michaelson et al. 2013),95AK110004,"Coarse-loamy, mixed, isofrigid Typic Haplocryod",58.297,-134.551,HIGH,NA,NA,NA,Bs2,20,39,19,,,,1.54,1.17,1.54,23,3.62,8156,,8156,,,,,,,,,,Humic Podzol,bf2,,0
26,NRCS (Michaelson et al. 2013),95AK110004,"Coarse-loamy, mixed, isofrigid Typic Haplocryod",58.297,-134.551,HIGH,NA,NA,NA,C,39,72,33,,,,1.92,1.74,1.92,44,0.40,1419,,1419,,,,,,,,,,Humic Podzol,C,,0
27,NRCS (Michaelson et al. 2013),90AK110001,"Loamy-skeletal, mixed Typic Cryorthod",58.396,-134.562,HIGH,NA,NA,NA,Oi,7,4,3,93,7,100,0.00,0.08,0.08,0,51.71,1241,7827,1241,78.3,24.58,,,,,,,,Humo-Ferric Podzol,Of,,0
28,NRCS (Michaelson et al. 2013),90AK110001,"Loamy-skeletal, mixed Typic Cryorthod",58.396,-134.562,HIGH,NA,NA,NA,Oe,4,2,2,,,,0.00,0.12,0.12,0,51.46,1235,,1235,,,,,,,,,,Humo-Ferric Podzol,Om,,0
29,NRCS (Michaelson et al. 2013),90AK110001,"Loamy-skeletal, mixed Typic Cryorthod",58.396,-134.562,HIGH,NA,NA,NA,Oa,2,0,2,,,,0.00,0.15,0.15,0,51.44,1543,,1543,,,,,,,,,,Humo-Ferric Podzol,Oh,,0
30,NRCS (Michaelson et al. 2013),90AK110001,"Loamy-skeletal, mixed Typic Cryorthod",58.396,-134.562,HIGH,NA,NA,NA,E,0,4,4,,,,0.00,1.31,1.31,23,5.76,2319,,2319,,,,,,,,,,Humo-Ferric Podzol,E,,0
31,NRCS (Michaelson et al. 2013),90AK110001,"Loamy-skeletal, mixed Typic Cryorthod",58.396,-134.562,HIGH,NA,NA,NA,Bhs,4,14,10,,,,1.25,1.19,1.25,67,1.38,562,,562,,,,,,,,,,Humo-Ferric Podzol,Bhf,,0
32,NRCS (Michaelson et al. 2013),90AK110001,"Loamy-skeletal, mixed Typic Cryorthod",58.396,-134.562,HIGH,NA,NA,NA,BC,14,21,7,,,,1.64,1.19,1.64,59,0.46,215,,215,,,,,,,,,,Humo-Ferric Podzol,BC,,0
33,NRCS (Michaelson et al. 2013),90AK110001,"Loamy-skeletal, mixed Typic Cryorthod",58.396,-134.562,HIGH,NA,NA,NA,C1,21,33,12,,,,0.00,1.91,1.91,61,0.29,262,,262,,,,,,,,,,Humo-Ferric Podzol,C1,,0
34,NRCS (Michaelson et al. 2013),90AK110001,"Loamy-skeletal, mixed Typic Cryorthod",58.396,-134.562,HIGH,NA,NA,NA,C2,33,93,60,,,,0.00,1.91,1.91,67,0.12,451,,451,,,,,,,,,,Humo-Ferric Podzol,C2,,0
35,NRCS (Michaelson et al. 2013),90AK110006,"Sandy or sandy-skeletal, mixed Typic Cryorthent",58.411,-134.557,HIGH,NA,NA,NA,Oi,10,9,1,90,10,100,0.00,0.08,0.08,0,46.14,369,5408,369,54.1,16.19,,,,,,,,Humic Regosol,Of,,0
36,NRCS (Michaelson et al. 2013),90AK110006,"Sandy or sandy-skeletal, mixed Typic Cryorthent",58.411,-134.557,HIGH,NA,NA,NA,Oe,9,5,4,,,,0.00,0.12,0.12,0,35.07,1684,,1684,,,,,,,,,,Humic Regosol,Om,,0
37,NRCS (Michaelson et al. 2013),90AK110006,"Sandy or sandy-skeletal, mixed Typic Cryorthent",58.411,-134.557,HIGH,NA,NA,NA,Oa,5,0,5,,,,0.00,0.15,0.15,2,23.74,1748,,1748,,,,,,,,,,Humic Regosol,Oh,,0
38,NRCS (Michaelson et al. 2013),90AK110006,"Sandy or sandy-skeletal, mixed Typic Cryorthent",58.411,-134.557,HIGH,NA,NA,NA,E,0,4,4,,,,0.00,0.11,0.11,25,1.68,56,,56,,,,,,,,,,Humic Regosol,E,,0
39,NRCS (Michaelson et al. 2013),90AK110006,"Sandy or sandy-skeletal, mixed Typic Cryorthent",58.411,-134.557,HIGH,NA,NA,NA,Bs,4,18,14,,,,0.00,1.1,1.1,24,0.36,423,,423,,,,,,,,,,Humic Regosol,bf,,0
40,NRCS (Michaelson et al. 2013),90AK110006,"Sandy or sandy-skeletal, mixed Typic Cryorthent",58.411,-134.557,HIGH,NA,NA,NA,C1,18,56,38,,,,0.00,1.1,1.1,24,0.20,631,,631,,,,,,,,,,Humic Regosol,C1,,0
