Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
85,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,Bs2,36,60,24,,,,0.99,1.17,0.99,1,3.34,7853,,7853,,,,,,,,,,Ferro-Humic Podzol,bf2,,0
86,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,B1,60,80,20,,,,0.84,1.71,0.84,3,1.11,1814,,1814,,,,,,,,,,Ferro-Humic Podzol,B1,,0
87,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,B2,80,94,14,,,,0.00,1.71,1.71,30,1.92,3223,,3223,,,,,,,,,,Ferro-Humic Podzol,B2,,0
88,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,Bsm,94,97,3,,,,0.00,1.17,1.17,13,3.14,960,,960,,,,,,,,,,Ferro-Humic Podzol,bfm,,0
89,NRCS (Michaelson et al. 2013),87AK220010,Medial Humic Cryorthod,57.000,-135.000,HIGH,NA,NA,NA,C,97,120,23,,,,0.00,1.74,1.74,1,0.89,3534,,461,,,,,,,,,,Ferro-Humic Podzol,C,,0
90,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,Oi,0,14,14,119,26,145,0.00,0.08,0.08,0,52.24,5851,50480,5851,464.5,100.93,,,,,,,,Humic Podzol,Of,,0
91,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,Oe,14,26,12,,,,0.00,0.12,0.12,0,37.10,5343,,5343,,,,,,,,,,Humic Podzol,Om,,0
92,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,E,26,27,1,,,,0.00,0.93,0.93,1,16.06,1478,,1478,,,,,,,,,,Humic Podzol,E,,0
93,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,Bh,27,34,7,,,,0.00,0.86,0.86,0,26.36,15868,,15868,,,,,,,,,,Humic Podzol,Bh,,0
94,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,Bhs,34,42,8,,,,0.00,0.86,0.86,4,14.47,9559,,9559,,,,,,,,,,Humic Podzol,Bhf,,0
95,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,Bs,42,52,10,,,,0.85,1.17,0.85,2,6.51,5421,,5421,,,,,,,,,,Humic Podzol,bf,,0
96,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,Bsm,52,56,4,,,,0.00,1.17,1.17,6,2.15,947,,947,,,,,,,,,,Humic Podzol,bfm,,0
97,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,2C1,56,78,22,,,,0.00,1.74,1.74,23,0.26,768,,768,,,,,,,,,,Humic Podzol,2C1,,0
98,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,2C2,78,98,20,,,,0.00,1.74,1.74,6,0.26,853,,853,,,,,,,,,,Humic Podzol,2C2,,0
99,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,2C3,98,115,17,,,,0.00,1.74,1.74,17,1.25,3058,,360,,,,,,,,,,Humic Podzol,2C3,,0
100,NRCS (Michaelson et al. 2013),87AK220009,"Medial, frigid Placic Haplaquod",57.050,-135.300,HIGH,NA,NA,NA,2C4,115,145,30,,,,0.00,1.74,1.74,2,0.26,1334,,0,,,,,,,,,,Humic Podzol,2C4,,0
101,NRCS (Michaelson et al. 2013),83AK220005,Loamy-skeletal Lithic Cryochrept,57.267,-134.617,HIGH,NA,NA,NA,Oe,16,0,16,22,16,38,0.00,0.13,0.13,0,36.24,7539,57806,7539,578.1,48.4860289,,,,,,,,Dystric Brunisol,Om,,0
102,NRCS (Michaelson et al. 2013),83AK220005,Loamy-skeletal Lithic Cryochrept,57.267,-134.617,HIGH,NA,NA,NA,E,0,11,11,,,,0.00,1.24,1.24,3,35.96,47583,,47583,,,,,,,,,,Dystric Brunisol,E,,0
103,NRCS (Michaelson et al. 2013),83AK220005,Loamy-skeletal Lithic Cryochrept,57.267,-134.617,HIGH,NA,NA,NA,Bm,11,22,11,,,,0.00,1.45,1.45,78,7.65,2684,,2684,,,,,,,,,,Dystric Brunisol,Bm,,0
104,NRCS (Michaelson et al. 2013),83AK220004,Sandy Typic Cryohumod,57.333,-135.017,HIGH,NA,NA,NA,Oi,21,11,10,91,21,112,0.00,0.08,0.08,0,38.17,3053,27215,3053,272.2,64.16,,,,,,,,Humic Podzol,Of,,0
105,NRCS (Michaelson et al. 2013),83AK220004,Sandy Typic Cryohumod,57.333,-135.017,HIGH,NA,NA,NA,Oa,11,0,11,,,,0.00,0.15,0.15,0,36.15,5964,,5964,,,,,,,,,,Humic Podzol,Oh,,0
106,NRCS (Michaelson et al. 2013),83AK220004,Sandy Typic Cryohumod,57.333,-135.017,HIGH,NA,NA,NA,E,0,6,6,,,,0.00,0.93,0.93,9,1.86,946,,946,,,,,,,,,,Humic Podzol,E,,0
107,NRCS (Michaelson et al. 2013),83AK220004,Sandy Typic Cryohumod,57.333,-135.017,HIGH,NA,NA,NA,Bhs,6,12,6,,,,0.00,0.86,0.86,13,5.55,2492,,2492,,,,,,,,,,Humic Podzol,Bhf,,0
108,NRCS (Michaelson et al. 2013),83AK220004,Sandy Typic Cryohumod,57.333,-135.017,HIGH,NA,NA,NA,Bs,12,22,10,,,,0.00,1.17,1.17,8,2.67,2879,,2879,,,,,,,,,,Humic Podzol,bf,,0
109,NRCS (Michaelson et al. 2013),83AK220004,Sandy Typic Cryohumod,57.333,-135.017,HIGH,NA,NA,NA,BC,22,42,20,,,,0.00,1.71,1.71,7,1.30,4146,,4146,,,,,,,,,,Humic Podzol,BC,,0
110,NRCS (Michaelson et al. 2013),83AK220004,Sandy Typic Cryohumod,57.333,-135.017,HIGH,NA,NA,NA,C,42,91,49,,,,0.00,1.74,1.74,19,1.12,7735,,7735,,,,,,,,,,Humic Podzol,C,,0
111,NRCS (Michaelson et al. 2013),83AK220007,Coarse-loamy Cryic Fragihumod,57.517,-134.433,HIGH,NA,NA,NA,Oi,13,10,3,91,13,104,0.00,0.08,0.08,0,38.35,920,34430,920,344.3,53.71,,,,,,,,Humic Podzol,Of,,0
112,NRCS (Michaelson et al. 2013),83AK220007,Coarse-loamy Cryic Fragihumod,57.517,-134.433,HIGH,NA,NA,NA,Oe,10,0,10,,,,0.00,0.12,0.12,0,38.55,4626,,4626,,,,,,,,,,Humic Podzol,Om,,0
113,NRCS (Michaelson et al. 2013),83AK220007,Coarse-loamy Cryic Fragihumod,57.517,-134.433,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,0.93,0.93,0,5.84,1629,,1629,,,,,,,,,,Humic Podzol,E,,1
114,NRCS (Michaelson et al. 2013),83AK220007,Coarse-loamy Cryic Fragihumod,57.517,-134.433,HIGH,NA,NA,NA,Bh,3,9,6,,,,0.00,0.86,0.86,14,14.09,6251,,6251,,,,,,,,,,Humic Podzol,Bh,,0
115,NRCS (Michaelson et al. 2013),83AK220007,Coarse-loamy Cryic Fragihumod,57.517,-134.433,HIGH,NA,NA,NA,Bs,9,27,18,,,,0.00,1.17,1.17,20,7.89,13290,,13290,,,,,,,,,,Humic Podzol,bf,,0
116,NRCS (Michaelson et al. 2013),83AK220007,Coarse-loamy Cryic Fragihumod,57.517,-134.433,HIGH,NA,NA,NA,BCx,27,50,23,,,,0.00,1.71,1.71,39,1.44,3451,,3451,,,,,,,,,,Humic Podzol,BCx,,0
117,NRCS (Michaelson et al. 2013),83AK220007,Coarse-loamy Cryic Fragihumod,57.517,-134.433,HIGH,NA,NA,NA,2Cx,50,91,41,,,,0.00,1.74,1.74,32,0.88,4262,,4262,,,,,,,,,,Humic Podzol,2Cx,,0
118,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,Oi,12,7,5,100,12,112,0.00,0.08,0.08,0,36.67,1467,77465,1467,774.7,83.49,,,,,,,,Humo-Ferric Podzol,Of,,1
119,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,Oa,7,0,7,,,,0.00,0.15,0.15,0,36.07,3787,,3787,,,,,,,,,,Humo-Ferric Podzol,Oh,,1
120,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,E,0,1,1,,,,0.00,1.31,1.31,0,5.84,765,,765,,,,,,,,,,Humo-Ferric Podzol,E,,1
121,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,Bh,1,6,5,,,,0.00,1.19,1.19,15,15.78,7979,,7979,,,,,,,,,,Humo-Ferric Podzol,Bh,,0
122,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,Bs,6,16,10,,,,0.00,1.46,1.46,7,6.63,9006,,9006,,,,,,,,,,Humo-Ferric Podzol,bf,,0
123,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,Eb,16,17,1,,,,0.00,1.31,1.31,0,5.84,765,,765,,,,,,,,,,Humo-Ferric Podzol,Eb,,1
124,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,BC,17,66,49,,,,0.00,1.19,1.19,22,8.74,39741,,39741,,,,,,,,,,Humo-Ferric Podzol,BC,,0
125,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,Oa,66,72,6,,,,0.00,0.15,0.15,10,17.32,1403,,1403,,,,,,,,,,Humo-Ferric Podzol,Oh,,0
126,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,E1b,72,74,2,,,,0.00,1.31,1.31,0,5.84,1530,,1530,,,,,,,,,,Humo-Ferric Podzol,E1b,,1
127,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,BC,74,79,5,,,,0.00,1.19,1.19,8,7.26,3974,,3974,,,,,,,,,,Humo-Ferric Podzol,BC,,0
128,NRCS (Michaelson et al. 2013),84AK220329,"Loamy-skeletal, mixed Cryic Fragiorthod",57.533,-135.167,HIGH,NA,NA,NA,Cx,79,100,21,,,,0.00,1.91,1.91,48,3.38,7048,,7048,,,,,,,,,,Humo-Ferric Podzol,Cx,,0
129,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,Oe,13,10,3,76,13,89,0.00,0.12,0.12,0,51.85,1867,40236,1867,402.4,67.22934995,,,,,,,,Humic Podzol,Om,,0
130,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,Oa,10,5,5,,,,0.00,0.15,0.15,0,54.75,4107,,4107,,,,,,,,,,Humic Podzol,Oh,,0
131,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,Oa2,5,0,5,,,,0.00,0.15,0.15,0,46.93,3520,,3520,,,,,,,,,,Humic Podzol,Oh2,,0
132,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,0.93,0.93,1,6.54,1805,,1805,,,,,,,,,,Humic Podzol,E,,0
133,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,Bh,3,10,7,,,,0.00,0.86,0.86,5,18.75,10723,,10723,,,,,,,,,,Humic Podzol,Bh,,0
134,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,Bhs,10,28,18,,,,0.00,0.86,0.86,20,11.40,14121,,14121,,,,,,,,,,Humic Podzol,Bhf,,0
135,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,BC,28,36,8,,,,0.00,1.71,1.71,26,1.18,1192,,1192,,,,,,,,,,Humic Podzol,BC,,0
136,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,C,36,58,22,,,,0.00,1.74,1.74,34,0.85,2147,,2147,,,,,,,,,,Humic Podzol,C,,0
137,NRCS (Michaelson et al. 2013),89AK220002,"Loamy-skeletal, mixed Aeric Cryaquod",57.733,-135.433,HIGH,NA,NA,NA,2Cm,58,76,18,,,,0.00,1.74,1.74,36,0.38,755,,755,,,,,,,,,,Humic Podzol,2Cm,,0
138,NRCS (Michaelson et al. 2013),83AK220009,Loamy-skeletal Lithic Aquic Cryorthent,57.783,-134.033,HIGH,NA,NA,NA,Oi,19,8,11,26,19,45,0.00,0.08,0.08,0,38.11,3354,15804,3354,158.0,52.81866664,,,,,,,,Humic Regosol,Of,,0
139,NRCS (Michaelson et al. 2013),83AK220009,Loamy-skeletal Lithic Aquic Cryorthent,57.783,-134.033,HIGH,NA,NA,NA,Oa,8,0,8,,,,0.00,0.15,0.15,0,35.91,4309,,4309,,,,,,,,,,Humic Regosol,Oh,,0
140,NRCS (Michaelson et al. 2013),83AK220009,Loamy-skeletal Lithic Aquic Cryorthent,57.783,-134.033,HIGH,NA,NA,NA,C,0,6,6,,,,0.00,1.1,1.1,21,5.97,3111,,3111,,,,,,,,,,Humic Regosol,C,,0
141,NRCS (Michaelson et al. 2013),83AK220009,Loamy-skeletal Lithic Aquic Cryorthent,57.783,-134.033,HIGH,NA,NA,NA,Cr,6,26,20,,,,0.00,1.1,1.1,38,3.69,5031,,5031,,,,,,,,,,Humic Regosol,Cr,,0
142,NRCS (Michaelson et al. 2013),83AK220010,Loamy-skeletal Lithic Cryorthent,57.783,-134.033,HIGH,NA,NA,NA,Oi,18,4,14,18,18,36,0.00,0.08,0.08,0,33.12,3710,7314,3710,73.1,40.72593757,,,,,,,,Humic Regosol,Of,,0
143,NRCS (Michaelson et al. 2013),83AK220010,Loamy-skeletal Lithic Cryorthent,57.783,-134.033,HIGH,NA,NA,NA,Oa,4,0,4,,,,0.00,0.15,0.15,0,28.99,1740,,1740,,,,,,,,,,Humic Regosol,Oh,,0
144,NRCS (Michaelson et al. 2013),83AK220010,Loamy-skeletal Lithic Cryorthent,57.783,-134.033,HIGH,NA,NA,NA,C,0,11,11,,,,0.00,1.1,1.1,20,1.30,1254,,1254,,,,,,,,,,Humic Regosol,C,,0
145,NRCS (Michaelson et al. 2013),83AK220010,Loamy-skeletal Lithic Cryorthent,57.783,-134.033,HIGH,NA,NA,NA,Cr,11,18,7,,,,0.00,1.1,1.1,47,1.49,610,,610,,,,,,,,,,Humic Regosol,Cr,,0
146,NRCS (Michaelson et al. 2013),83AK220027,Coarse-loamy Aquic Fragiorthod,57.867,-134.100,HIGH,NA,NA,NA,Oi,26,18,8,91,26,117,0.00,0.08,0.08,0,41.35,2647,26266,2647,262.7,41.53,,,,,,,,Humo-Ferric Podzol,Of,,0
147,NRCS (Michaelson et al. 2013),83AK220027,Coarse-loamy Aquic Fragiorthod,57.867,-134.100,HIGH,NA,NA,NA,Oi2,18,4,14,,,,0.00,0.08,0.08,0,36.67,4107,,4107,,,,,,,,,,Humo-Ferric Podzol,Of2,,1
148,NRCS (Michaelson et al. 2013),83AK220027,Coarse-loamy Aquic Fragiorthod,57.867,-134.100,HIGH,NA,NA,NA,Oe,4,0,4,,,,0.00,0.12,0.12,0,39.22,1882,,1882,,,,,,,,,,Humo-Ferric Podzol,Om,,0
149,NRCS (Michaelson et al. 2013),83AK220027,Coarse-loamy Aquic Fragiorthod,57.867,-134.100,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,1.31,1.31,13,4.22,1443,,1443,,,,,,,,,,Humo-Ferric Podzol,E,,0
150,NRCS (Michaelson et al. 2013),83AK220027,Coarse-loamy Aquic Fragiorthod,57.867,-134.100,HIGH,NA,NA,NA,Bhs,3,5,2,,,,0.00,1.19,1.19,0,4.83,1149,,1149,,,,,,,,,,Humo-Ferric Podzol,Bhf,,1
151,NRCS (Michaelson et al. 2013),83AK220027,Coarse-loamy Aquic Fragiorthod,57.867,-134.100,HIGH,NA,NA,NA,Bs,5,23,18,,,,0.00,1.46,1.46,33,5.22,9197,,9197,,,,,,,,,,Humo-Ferric Podzol,bf,,0
152,NRCS (Michaelson et al. 2013),83AK220027,Coarse-loamy Aquic Fragiorthod,57.867,-134.100,HIGH,NA,NA,NA,BC,23,31,8,,,,0.00,1.19,1.19,31,1.54,1008,,1008,,,,,,,,,,Humo-Ferric Podzol,BC,,0
153,NRCS (Michaelson et al. 2013),83AK220027,Coarse-loamy Aquic Fragiorthod,57.867,-134.100,HIGH,NA,NA,NA,2Cx,31,91,60,,,,0.00,1.91,1.91,16,0.50,4833,,4833,,,,,,,,,,Humo-Ferric Podzol,2Cx,,0
154,NRCS (Michaelson et al. 2013),83AK130027,Dysic Lithic Cryofolist,56.008,-133.583,HIGH,NA,NA,NA,Oe,0,9,9,0,21,21,0.00,0.12,0.12,0,46.28,4998,11413,4998,114.1,37.71299924,,,,,,,,Folisol,Om,,0
155,NRCS (Michaelson et al. 2013),83AK130027,Dysic Lithic Cryofolist,56.008,-133.583,HIGH,NA,NA,NA,Oa,9,21,12,,,,0.00,0.15,0.15,0,35.64,6415,,6415,,,,,,,,,,Folisol,Oh,,0
156,NRCS (Michaelson et al. 2013),83AK130028,Thixotropic Lithic Cryorthod,56.008,-133.583,HIGH,NA,NA,NA,Oe,13,9,4,31,13,44,0.00,0.12,0.12,0,50.22,2410,32987,2410,329.9,53.39183844,,,,,,,,Humo-Ferric Podzol,Om,,0
157,NRCS (Michaelson et al. 2013),83AK130028,Thixotropic Lithic Cryorthod,56.008,-133.583,HIGH,NA,NA,NA,Oe,9,0.00,9,,,,0.00,0.12,0.12,0,41.04,4433,,4433,,,,,,,,,,Humo-Ferric Podzol,A,,0
158,NRCS (Michaelson et al. 2013),83AK130028,Thixotropic Lithic Cryorthod,56.008,-133.583,HIGH,NA,NA,NA,E / Bhs,0,21,21,,,,0.00,1.31,1.31,15,9.13,21358,,21358,,,,,,,,,,Humo-Ferric Podzol,E / Bhf,,0
159,NRCS (Michaelson et al. 2013),83AK130028,Thixotropic Lithic Cryorthod,56.008,-133.583,HIGH,NA,NA,NA,BC,21,31,10,,,,0.00,1.19,1.19,23,5.22,4786,,4786,,,,,,,,,,Humo-Ferric Podzol,BC,,0
160,NRCS (Michaelson et al. 2013),83AK130029,"Coarse-loamy, mixed Lithic Cryochrept",56.008,-133.583,HIGH,NA,NA,NA,Oe,9,6,3,11,9,20,0.00,0.13,0.13,0,51.21,1997,32144,1997,321.4,39.71670269,,,,,,,,Dystric Brunisol,Om,,0
161,NRCS (Michaelson et al. 2013),83AK130029,"Coarse-loamy, mixed Lithic Cryochrept",56.008,-133.583,HIGH,NA,NA,NA,Oa,6,0,6,,,,0.00,0.15,0.15,0,46.48,4183,,4183,,,,,,,,,,Dystric Brunisol,Oh,,0
162,NRCS (Michaelson et al. 2013),83AK130029,"Coarse-loamy, mixed Lithic Cryochrept",56.008,-133.583,HIGH,NA,NA,NA,BC,0,11,11,,,,0.00,1.45,1.45,1,16.44,25963,,25963,,,,,,,,,,Dystric Brunisol,BC,,0
163,NRCS (Michaelson et al. 2013),83AK130030,Thixotropic Lithic Cryorthod,56.008,-133.583,HIGH,NA,NA,NA,Oe,4,0,4,15,4,19,0.00,0.12,0.12,0,46.20,2218,13977,2218,139.8,19.02433501,,,,,,,,Humo-Ferric Podzol,Om,,0
164,NRCS (Michaelson et al. 2013),83AK130030,Thixotropic Lithic Cryorthod,56.008,-133.583,HIGH,NA,NA,NA,Bs,0,15,15,,,,0.00,1.46,1.46,7,5.77,11759,,11759,,,,,,,,,,Humo-Ferric Podzol,bf,,0
165,NRCS (Michaelson et al. 2013),83AK130126,"Loamy-skeletal, mixed Typic Cryorthod",56.008,-133.583,HIGH,NA,NA,NA,Oe,14,8,6,51,14,65,0.00,0.12,0.12,0,52.00,3744,44446,3744,444.5,68.94128294,,,,,,,,Humo-Ferric Podzol,Om,,0
166,NRCS (Michaelson et al. 2013),83AK130126,"Loamy-skeletal, mixed Typic Cryorthod",56.008,-133.583,HIGH,NA,NA,NA,Oa,8,0,8,,,,0.00,0.15,0.15,0,49.29,5915,,5915,,,,,,,,,,Humo-Ferric Podzol,Oh,,0
167,NRCS (Michaelson et al. 2013),83AK130126,"Loamy-skeletal, mixed Typic Cryorthod",56.008,-133.583,HIGH,NA,NA,NA,Bhs,0,18,18,,,,0.00,1.19,1.19,19,10.56,18326,,18326,,,,,,,,,,Humo-Ferric Podzol,Bhf,,0
168,NRCS (Michaelson et al. 2013),83AK130126,"Loamy-skeletal, mixed Typic Cryorthod",56.008,-133.583,HIGH,NA,NA,NA,BC,18,51,33,,,,0.00,1.19,1.19,5,4.41,16461,,16461,,,,,,,,,,Humo-Ferric Podzol,BC,,0
169,NRCS (Michaelson et al. 2013),81AK280008,Thixotropic-skeletal Humic Cryorthod,56.072,-131.976,HIGH,NA,NA,NA,O,3,0,3,152,3,155,0.00,0.11,0.11,0,37.79,1247,105109,1247,747.6,48.45,,,,,,,,Ferro-Humic Podzol,O,,1
170,NRCS (Michaelson et al. 2013),81AK280008,Thixotropic-skeletal Humic Cryorthod,56.072,-131.976,HIGH,NA,NA,NA,E,0,2,2,,,,0.00,0.93,0.93,0,4.87,905,,905,,,,,,,,,,Ferro-Humic Podzol,E,,0
171,NRCS (Michaelson et al. 2013),81AK280008,Thixotropic-skeletal Humic Cryorthod,56.072,-131.976,HIGH,NA,NA,NA,B1,2,15,13,,,,0.00,1.71,1.71,0,6.78,15067,,15067,,,,,,,,,,Ferro-Humic Podzol,B1,,0
172,NRCS (Michaelson et al. 2013),81AK280008,Thixotropic-skeletal Humic Cryorthod,56.072,-131.976,HIGH,NA,NA,NA,B1,15,33,18,,,,0.00,1.71,1.71,15,6.14,16066,,16066,,,,,,,,,,Ferro-Humic Podzol,B1,,0
173,NRCS (Michaelson et al. 2013),81AK280008,Thixotropic-skeletal Humic Cryorthod,56.072,-131.976,HIGH,NA,NA,NA,B2,33,58,25,,,,0.00,1.71,1.71,25,5.29,16964,,16964,,,,,,,,,,Ferro-Humic Podzol,B2,,0
174,NRCS (Michaelson et al. 2013),81AK280008,Thixotropic-skeletal Humic Cryorthod,56.072,-131.976,HIGH,NA,NA,NA,C,58,152,94,,,,0.00,1.74,1.74,40,5.59,54860,,24512,,,,,,,,,,Ferro-Humic Podzol,C,,0
175,NRCS (Michaelson et al. 2013),83AK280010,Medial-skeletal Typic Cryaquod,56.072,-131.975,HIGH,NA,NA,NA,O,23,0,23,152,23,175,0.00,0.11,0.11,0,28.89,7309,30801,7309,273.8,65.77,,,,,,,,Humic Podzol,O,,0
176,NRCS (Michaelson et al. 2013),83AK280010,Medial-skeletal Typic Cryaquod,56.072,-131.975,HIGH,NA,NA,NA,A,0,5,5,,,,0.00,0.93,0.93,5,3.01,1331,,1331,,,,,,,,,,Humic Podzol,A,,0
177,NRCS (Michaelson et al. 2013),83AK280010,Medial-skeletal Typic Cryaquod,56.072,-131.975,HIGH,NA,NA,NA,Bh1,5,15,10,,,,0.00,0.86,0.86,3,6.93,5783,,5783,,,,,,,,,,Humic Podzol,Bh1,,0
178,NRCS (Michaelson et al. 2013),83AK280010,Medial-skeletal Typic Cryaquod,56.072,-131.975,HIGH,NA,NA,NA,Bh2,15,30,15,,,,0.00,0.86,0.86,5,4.60,5632,,5632,,,,,,,,,,Humic Podzol,Bh2,,0
179,NRCS (Michaelson et al. 2013),83AK280010,Medial-skeletal Typic Cryaquod,56.072,-131.975,HIGH,NA,NA,NA,Bs,30,43,13,,,,0.00,1.17,1.17,13,2.70,3577,,3577,,,,,,,,,,Humic Podzol,bf,,0
180,NRCS (Michaelson et al. 2013),83AK280010,Medial-skeletal Typic Cryaquod,56.072,-131.975,HIGH,NA,NA,NA,C,43,152,109,,,,0.00,1.74,1.74,13,0.43,7169,,3749,,,,,,,,,,Humic Podzol,C,,0
181,NRCS (Michaelson et al. 2013),84AK201003,"Coarse-loamy, mixed Typic Cryorthod",56.192,-133.529,HIGH,NA,NA,NA,Oi,17,11,6,107,17,124,0.00,0.08,0.08,0,36.67,1760,71869,1760,711.4,94.89,,,,,,,,Humo-Ferric Podzol,Of,,1
182,NRCS (Michaelson et al. 2013),84AK201003,"Coarse-loamy, mixed Typic Cryorthod",56.192,-133.529,HIGH,NA,NA,NA,Oe,11,1,10,,,,0.00,0.12,0.12,4,46.50,5357,,5357,,,,,,,,,,Humo-Ferric Podzol,Om,,0
183,NRCS (Michaelson et al. 2013),84AK201003,"Coarse-loamy, mixed Typic Cryorthod",56.192,-133.529,HIGH,NA,NA,NA,Oa,1,0,1,,,,0.00,0.15,0.15,0,36.07,541,,541,,,,,,,,,,Humo-Ferric Podzol,Oh,,1
184,NRCS (Michaelson et al. 2013),84AK201003,"Coarse-loamy, mixed Typic Cryorthod",56.192,-133.529,HIGH,NA,NA,NA,E / Bhs,0,5,5,,,,0.00,1.31,0.87,1,7.87,3389,,3389,,,,,,,,,,Humo-Ferric Podzol,E / Bhf,,0
185,NRCS (Michaelson et al. 2013),84AK201003,"Coarse-loamy, mixed Typic Cryorthod",56.192,-133.529,HIGH,NA,NA,NA,Bhs1,5,18,13,,,,0.00,1.19,0.87,1,6.89,7715,,7715,,,,,,,,,,Humo-Ferric Podzol,Bhf1,,0
186,NRCS (Michaelson et al. 2013),84AK201003,"Coarse-loamy, mixed Typic Cryorthod",56.192,-133.529,HIGH,NA,NA,NA,Bhs2,18,33,15,,,,0.00,1.19,0.87,17,16.88,18284,,18284,,,,,,,,,,Humo-Ferric Podzol,Bhf2,,0
187,NRCS (Michaelson et al. 2013),84AK201003,"Coarse-loamy, mixed Typic Cryorthod",56.192,-133.529,HIGH,NA,NA,NA,Bs,33,79,46,,,,0.00,1.46,1.46,1,4.80,31914,,31914,,,,,,,,,,Humo-Ferric Podzol,bf,,0
