SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.6886111,HIGH,NA,NA,NA,Cg,-125,-150,25,,,,1.54,,0.21,810,,0,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Lv/S,40,39,1,100,40,140,0.11,,56.20,618,48860,618,473.9
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Fm,39,35,4,,,,0.11,,50.51,2222,,2222,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Hh1,35,23,12,,,,0.11,,53.21,7024,,7024,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Hh2,23,20,3,,,,0.11,,50.90,1680,,1680,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Hh3,20,10,10,,,,0.11,,55.46,6101,,6101,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Hh4,10,0,10,,,,0.11,,47.58,5234,,5234,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Ae,0,-10,10,,,,1.39,,4.42,6122,,6122,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Bhc1,-10,-35,25,,,,1.39,,1.96,6787,,6787,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Bhc2,-35,-82,47,,,,1.54,,1.42,10291,,10291,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Bfc,-82,-85,3,,,,1.54,,1.67,773,,773,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,BC,-85,-130,45,,,,1.45,,0.25,1628,,543,
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,NA,NA,NA,Cg,-130,-162,32,,,,1.49,,0.08,382,,0,
SANBORN & MASSICOTTE 2010,BC09-07,NA,54.06908333,-131.6772222,HIGH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0,NA,
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,30,12.5,NE,Oi,14,13,1,51,14,65,0.11,,49.50,545,97885,545,978.9
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,30,12.5,NE,Oe,13,8,5,,,,0.11,,48.30,2657,,2657,
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,30,12.5,NE,Oa,8,0,8,,,,0.11,,47.30,4162,,4162,
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,30,12.5,NE,E,0,-3,3,,,,0.93,,4.70,1311,,1311,
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,30,12.5,NE,Bhs1,-3,-10,7,,,,1.71,,12.40,14843,,14843,
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,30,12.5,NE,Bhs2,-10,-35,25,,,,1.71,,8.50,36338,,36338,
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,30,12.5,NE,Bhs3,-35,-51,16,,,,1.71,,13.90,38030,,38030,
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,170,27.5,N,Oa,11,6,5,68,11,79,0.11,,49.80,2739,86992,2739,869.9
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,170,27.5,N,Oa,6,0,6,,,,0.11,,46.70,3082,,3082,
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,170,27.5,N,E,0,-2,2,,,,0.93,,5.50,1023,,1023,
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,170,27.5,N,Bhs2,-2,-20,18,,,,1.71,,7.10,21854,,21854,
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,170,27.5,N,Bhs2,-20,-35,15,,,,1.71,,9.00,23085,,23085,
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,170,27.5,N,Bhs3,-35,-45,10,,,,1.71,,7.00,11970,,11970,
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,170,27.5,N,Bhs4,-45,-55,10,,,,1.71,,11.90,20349,,20349,
SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,170,27.5,N,Bms,-55,-68,13,,,,1.71,,1.30,2890,,2890,
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Oi,11,9,2,100,11,111,0.11,,47.00,1034,355851,1034,1516.4
