SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,CCONC_SLOPE,Depth of Mean,Real Depth,1/-Trendline Slope,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.18055556,-130.2180556,HIGH,NA,NA,NA,Ae,0,-1,1,,,,0.93,,10.5,976,,976,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.18055556,-130.2180556,HIGH,NA,NA,NA,Bhf,-1,-40,39,,,,0.86,20,10.5,28147,,28147,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,54.18055556,-130.2180556,HIGH,NA,NA,NA,BC,-40,-90,50,,,,1.71,20,3.75,25626,,25626,,0.150,45,65,-0.149857635,,,
KRANABETTER AND BANNER 2000,Giltoyees6,Hemic Folisol (used podzol Db),53.79027778,-128.9680556,HIGH,NA,NA,NA,L,46,45,1,1,46,47,0.14,,56.8,795,37742,795,377.4,,,,,,,
KRANABETTER AND BANNER 2000,,Hemic Folisol (used podzol Db),53.79027778,-128.9680556,HIGH,NA,NA,NA,Hr,45,0,45,,,,0.14,,56.8,35780,,35780,,,,,,,,
KRANABETTER AND BANNER 2000,,Hemic Folisol (used podzol Db),53.79027778,-128.9680556,HIGH,NA,NA,NA,C,0,-1,1,,,,1.74,0,6.7,1168,,1168,,,,,,,,
KRANABETTER AND BANNER 2000,WorkIs7,Orthic Humo-Ferric Podzol,53.17611111,-128.6694444,HIGH,NA,NA,NA,L,11,10,1,100,11,111,0.14,,50.5,708,37122,708,371.2,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,53.17611111,-128.6694444,HIGH,NA,NA,NA,Hr,10,2,8,,,,0.14,,50.5,5661,,5661,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,53.17611111,-128.6694444,HIGH,NA,NA,NA,Hh,2,0,2,,,,0.14,,50.5,1415,,1415,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,53.17611111,-128.6694444,HIGH,NA,NA,NA,Ae,0,-5,5,,,,1.31,12,3.8,2162,,2162,,,,20,,,,
