Row,SOURCE,BEC Number,ID,GGROUP_EXP,ORDER_ONLY,LAT,LON,LATLON_Q,Elevation,Slope,Aspect,Horizon,UpperDepth,LowerDepth,DEPTH,Texture,HorizonType,MIN_D,FF_D,Zone,SurficialMaterialSurf,MINERAL_D,FF_D,TOTAL_D,BULK.DENSITY,CF,NEW.CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,next,,,,,
36,,247,7,HFP,Podzolic,,,,,,,Hh,2,0,2,NA,1,0,2,CWH,F,,,,0.14,0,36.65,1026,,1026,,,,,,,
37,,275,7,HFP,Podzolic,,,,,,,Ae,0,-2,2,SIL,2,2,0,IDF,M,,,,1.31,0,4.74,1242,,1242,,,,,,,
38,,275,7,HFP,Podzolic,,,,,,,Bf,-2,-50,48,SL,2,48,0,IDF,M,,,,1.38,40,1.7,6756,,6756,,,,,,,
39,SEE BEC FILE,217,8,DYB,Brunisolic,49.0399704,121.0607986,HIGH,NA,NA,NA,Fm,7,2,5,NA,1,0,5,CWH,F,50,7,57,0.16,0,37.4,2992,6579,2992,65.8,1,,,,,
40,,217,8,DYB,Brunisolic,,,,,,,Fa,2,0,2,NA,1,0,2,CWH,F,,,,0.16,0,37.4,1197,,1197,,,,,,,
41,,230,8,DYB,Brunisolic,,,,,,,Ae,0,-6,6,LS,2,6,0,CWH,FG,,,,1.24,60,3.36,1000,,1000,,,,,,,
42,,230,8,DYB,Brunisolic,,,,,,,Bfj,-6,-28,22,LS,2,22,0,CWH,FG,,,,1.03,60,1.2,1088,,1088,,,,,,,
43,,230,8,DYB,Brunisolic,,,,,,,BC,-28,-50,22,S,2,22,0,CWH,FG,,,,1.45,75,0.38,303,,303,,,,,,,
44,SEE BEC FILE,218,9,FHP,Podzolic,49.04182816,121.0625992,HIGH,NA,NA,NA,Fm1,5,2.5,2.5,NA,1,0,2.5,CWH,F,45,5,50,0.11,0,45.06,1239,8911,1239,89.1,1,,,,,
45,,218,9,FHP,Podzolic,,,,,,,Fm2,2.5,0,2.5,NA,1,0,2.5,SBS,F,,,,0.11,0,45.06,1239,,1239,,,,,,,
46,,231,9,FHP,Podzolic,,,,,,,Ae,0,-8,8,SL,2,8,0,CWH,C,,,,0.93,70,10.95,2444,,2444,,,,,,,
47,,231,9,FHP,Podzolic,,,,,,,Bf,-8,-30,22,LS,2,22,0,CWH,C,,,,1.17,70,3.92,3027,,3027,,,,,,,
48,,231,9,FHP,Podzolic,,,,,,,BC,-30,-45,15,LS,2,15,0,CWH,C,,,,1.71,70,1.25,962,,962,,,,,,,
49,SEE BEC FILE,160,10,FHP,Podzolic,49.07083893,121.1094971,HIGH,NA,NA,NA,Fm,4,0,4,NA,1,0,4,SBS,F,55,4,59,0.11,0,45.06,1983,22246,1983,222.5,1,,,,,
50,,173,10,FHP,Podzolic,,,,,,,Ae,0,-5,5,,2,5,0,CWH,FG,,,,0.93,0,10.95,5092,,5092,,,,,,,
51,,173,10,FHP,Podzolic,,,,,,,Bf,-5,-12,7,SL,2,7,0,CWH,FG,,,,1.17,30,3.92,2247,,2247,,,,,,,
52,,173,10,FHP,Podzolic,,,,,,,Bm,-12,-37,25,LS,2,25,0,CWH,FG,,,,1.71,30,3.92,11731,,11731,,,,,,,
53,,173,10,FHP,Podzolic,,,,,,,C1,-37,-55,18,S,2,18,0,CWH,FG,,,,1.74,70,1.27,1193,,1193,,,,,,,
54,SEE BEC FILE,300,11,HFP,Podzolic,49.07705307,121.1099777,HIGH,NA,NA,NA,Ln,6,5,1,NA,1,0,1,SBS,F,53,6,59,0.14,0,43.21,605,10906,605,121.2,1,,,,,
55,,300,11,HFP,Podzolic,,,,,,,Fm,5,2,3,NA,1,0,3,CWH,F,,,,0.14,0,43.21,1815,,1815,,,,,,,
56,,300,11,HFP,Podzolic,,,,,,,Hh,2,0,2,NA,1,0,2,CWH,F,,,,0.14,0,36.65,1026,,1026,,,,,,,
57,,329,11,HFP,Podzolic,,,,,,,Bf,0,-53,53,SL,2,53,0,IDF,M,,,,1.38,40,1.7,7460,,7460,,,,,,,
58,SEE BEC FILE,305,12,HFP,Podzolic,49.19961548,120.9984818,HIGH,NA,NA,NA,L,9,7,2,NA,1,0,2,CWH,F,42,9,51,0.14,0,43.21,1210,12511,1210,125.1,1,,,,,
59,,305,12,HFP,Podzolic,,,,,,,Fm,7,0,7,NA,1,0,7,CWH,F,,,,0.14,0,43.21,4235,,4235,,,,,,,
60,,305,12,HFP,Podzolic,,,,,,,H,0,0,0,NA,1,0,0,CWH,F,,,,0.14,0,36.65,0,,0,,,,,,,
61,,334,12,HFP,Podzolic,,,,,,,Ae,0,-6,6,S,2,6,0,CWH,M,,,,1.31,35,4.74,2422,,2422,,,,,,,
62,,334,12,HFP,Podzolic,,,,,,,Bf,-6,-42,36,LS,2,36,0,CWH,M,,,,1.38,45,1.7,4645,,4645,,,,,,,
63,SEE BEC FILE,309,13,DYB,Brunisolic,49.20005417,120.9982758,HIGH,NA,NA,NA,L,4,3,1,NA,1,0,1,CWH,F,42,4,46,0.16,0,37.4,598,9148,598,91,1,,,,,
64,,309,13,DYB,Brunisolic,,,,,,,Fm,3,0,3,NA,1,0,3,MH,D,,,,0.16,0,37.4,1795,,1795,,,,,,,
65,,309,13,DYB,Brunisolic,,,,,,,H,0,0,0,NA,1,0,0,MH,D,,,,0.16,0,30.85,0,,0,,,,,,,
66,,338,13,DYB,Brunisolic,,,,,,,Ae,0,-5,5,S,2,5,0,CWH,M,,,,1.24,5,3.36,1979,,1979,,,,,,,
67,,338,13,DYB,Brunisolic,,,,,,,Bfj,-5,-24,19,LS,2,19,0,CWH,M,,,,1.03,10,1.2,2114,,2114,,,,,,,
68,,338,13,DYB,Brunisolic,,,,,,,Bm1,-24,-42,18,S,2,18,0,CWH,M,,,,1.45,15,1.2,2662,,2662,,,,,,,
69,,338,13,DYB,Brunisolic,,,,,,,Bm2,-42,-42,0,S,2,0,0,CWH,M,,,,1.45,50,1.2,0,,0,,,,,,,
70,SEE BEC FILE,305,14,FHP,Podzolic,49.09038925,121.1130219,HIGH,NA,NA,NA,Ln,3,0,3,NA,1,0,3,MH,C,63,3,66,0.11,0,45.06,1487,29612,1487,296,1,,,,,
71,,334,14,FHP,Podzolic,,,,,,,Ah,0,-11,11,SIL,2,11,0,IDF,FG,,,,0.93,5,10.95,10642,,10642,,,,,,,
72,,334,14,FHP,Podzolic,,,,,,,Bhf,-11,-38,27,SIL,2,27,0,IDF,FG,,,,0.86,15,3.92,7737,,7737,,,,,,,
73,,334,14,FHP,Podzolic,,,,,,,Bf,-38,-63,25,L,2,25,0,IDF,FG,,,,1.17,15,3.92,9746,,9746,,,,,,,
74,SEE BEC FILE,219,15,FHP,Podzolic,49.10802841,121.1216965,HIGH,NA,NA,NA,Fm,6,0,6,NA,1,0,6,MH,C,55,6,61,0.11,0,45.06,2974,14226,2974,14226,1,,,,,
75,,232,15,FHP,Podzolic,,,,,,,Ae,0,-1,1,SIL,2,1,0,CWH,C,,,,0.93,0,10.95,1018,,1018,,,,,,,
76,,232,15,FHP,Podzolic,,,,,,,Bf,-1,-15,14,SIL,2,14,0,CWH,C,,,,1.17,60,3.92,2568,,2568,,,,,,,
77,,232,15,FHP,Podzolic,,,,,,,Bm,-15,-40,25,SIL,2,25,0,CWH,C,,,,1.71,60,3.92,6703,,6703,,,,,,,
78,,232,15,FHP,Podzolic,,,,,,,BC,-40,-55,15,SL,2,15,0,CWH,C,,,,1.71,70,1.25,962,,962,,,,,,,
79,SEE BEC FILE,216,16,FHP,Podzolic,49.10625076,121.1313019,HIGH,NA,NA,NA,Fa,4,0,4,NA,1,0,4,MH,C,60,4,64,0.11,0,45.06,1983,22657,1983,22657,1,,,,,
80,,229,16,FHP,Podzolic,,,,,,,Bf,0,-12,12,SIL,2,12,0,CWH,F,,,,1.17,10,3.92,4953,,4953,,,,,,,
81,,229,16,FHP,Podzolic,,,,,,,Bm,-12,-30,18,SIL,2,18,0,CWH,F,,,,1.71,10,3.92,10859,,10859,,,,,,,
82,,229,16,FHP,Podzolic,,,,,,,C1,-30,-40,10,S,2,10,0,CWH,F,,,,1.74,80,1.27,442,,442,,,,,,,
83,,229,16,FHP,Podzolic,,,,,,,C2,-40,-60,20,SI,2,20,0,CWH,F,,,,1.74,0,1.27,4420,,4420,,,,,,,
84,SEE BEC FILE,215,17,DYB,Brunisolic,49.11272049,121.1412964,HIGH,NA,NA,NA,Fm,4,0,4,NA,1,0,4,SWB,M,50,4,54,0.16,0,37.4,2394,8762,2394,8762,1,,,,,
