Row,SOURCE,BEC Number,ID,GGROUP_EXP,ORDER_ONLY,LAT,LON,LATLON_Q,Elevation,Slope,Aspect,Horizon,UpperDepth,LowerDepth,DEPTH,Texture,HorizonType,MIN_D,FF_D,Zone,SurficialMaterialSurf,MINERAL_D,FF_D,TOTAL_D,BULK.DENSITY,CF,NEW.CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,next,,,,,
1118,,628,220,HR,Regosolic,,,,,,,Bm,-40,-44,4,LS,2,4,0,ESSF,O,,,,1.1,10,2.84,1125,,1125,,,,,,,
1119,,628,220,HR,Regosolic,,,,,,,Humicb,-44,-46,2,,2,2,0,ESSF,O,,,,0.55,0,19.02,2092,,2092,,,,,,,
1120,,628,220,HR,Regosolic,,,,,,,C,-46,-47,1,S,2,1,0,ESSF,O,,,,1.1,10,0.92,91,,91,,,,,,,
1121,SEE BEC FILE,624,221,HFP,Podzolic,50.25999832,122.1969986,HIGH,NA,NA,NA,Ah,0,-5,5,SL,2,5,0,ESSF,C,30,5,35,1.31,10,4.74,2794,12597,2794,12597,1,,,,,
1122,,574,221,HFP,Podzolic,,,,,,,F,0,0,0,NA,1,0,0,,,,,,0.14,0,43.21,0,,0,,,,,,,
1123,,573,221,HFP,Podzolic,50.2602005,122.1969986,,,,,L,5,4,1,NA,1,0,1,,,,,,0.14,0,43.21,605,,605,,,,,,,
1124,,573,221,HFP,Podzolic,50.2602005,122.1969986,,,,,F,4,2,2,NA,1,0,2,,,,,,0.14,0,43.21,1210,,1210,,,,,,,
1125,,573,221,HFP,Podzolic,50.2602005,122.1969986,,,,,H,2,0,2,NA,1,0,2,,,,,,0.14,0,36.65,1026,,1026,,,,,,,
1126,,623,221,HFP,Podzolic,50.2602005,122.1969986,,,,,Ah,0,-5,5,,2,5,0,ESSF,C,,,,1.31,0,4.74,3105,,3105,,,,,,,
1127,,623,221,HFP,Podzolic,50.2602005,122.1969986,,,,,Bf,-25,-8,17,SL,2,17,0,ESSF,C,,,,1.38,50,1.7,1994,,1994,,,,,,,
1128,,623,221,HFP,Podzolic,50.2602005,122.1969986,,,,,Ahe,-5,-8,3,,2,3,0,ESSF,C,,,,1.31,0,4.74,1863,,1863,,,,,,,
1129,SEE BEC FILE,568,222,HR,Regosolic,50.22129822,122.2360001,,,,,L,1.5,1,0.5,NA,1,0,0.5,,,20,1.5,21.5,0.11,0,25.58,141,10672,141,10672,1,,,,,
1130,,568,222,HR,Regosolic,50.22129822,122.2360001,,,,,F,1,0.5,0.5,NA,1,0,0.5,,,,,,0.11,0,25.58,141,,141,,,,,,,
1131,,568,222,HR,Regosolic,50.22129822,122.2360001,,,,,H,0.5,0,0.5,NA,1,0,0.5,,,,,,0.55,0,19.02,523,,523,,,,,,,
1132,,618,222,HR,Regosolic,50.22129822,122.2360001,,,,,Ah,0,-12,12,L,2,12,0,ESSF,M,,,,0.97,20,7.94,7394,,7394,,,,,,,
1133,,618,222,HR,Regosolic,50.22129822,122.2360001,,,,,Bm,-12,-20,8,SIL,2,8,0,ESSF,M,,,,1.1,1,2.84,2474,,2474,,,,,,,
1134,,618,222,HR,Regosolic,50.22129822,122.2360001,,,,,,0,0,0,,2,0,0,ESSF,M,,,,0,0,,0,,0,,,,,,,
1135,SEE BEC FILE,526,223,HFP,Podzolic,48.43957901,124.0237961,,,,,Lv,4,3,1,NA,1,0,1,,,75,4,79,0.14,0,43.21,605,16393,605,16393,1,,,,,
1136,,526,223,HFP,Podzolic,48.43957901,124.0237961,,,,,Fa,3,1,2,NA,1,0,2,,,,,,0.14,0,43.21,1210,,1210,,,,,,,
1137,,526,223,HFP,Podzolic,48.43957901,124.0237961,,,,,Hh,1,0,1,NA,1,0,1,,,,,,0.14,0,36.65,513,,513,,,,,,,
1138,,574,223,HFP,Podzolic,48.43957901,124.0237961,,,,,Ae,0,-3,3,L,2,3,0,CWH,M,,,,1.31,25,4.74,1397,,1397,,,,,,,
1139,,574,223,HFP,Podzolic,48.43957901,124.0237961,,,,,Bf,-3,-75,72,L,2,72,0,CWH,M,,,,1.38,25,1.7,12668,,12668,,,,,,,
1140,SEE BEC FILE,567,224,R,Regosolic,50.22380066,122.2450027,,,,,L,0.5,0,0.5,NA,1,0,0.5,,,8,0.5,8.5,0.11,0,25.58,141,4146,141,4146,1,,,,,
1141,,617,224,R,Regosolic,50.22380066,122.2450027,,,,,Ah,0,-8,8,,2,8,0,IMA,C,,,,0.97,35,7.94,4005,,4005,,,,,,,
1142,SEE BEC FILE,616,225,BR,Brunisolic,50.22399902,122.2460022,,,,,Bg,0,-20,20,SIL,2,20,0,IMA,M,20,0,20,1.45,30,1.2,2436,2436,2436,2436,1,,,,,
1143,,616,225,BR,Brunisolic,50.22399902,122.2460022,,,,,,0,0,0,,2,0,0,IMA,M,,,,0,0,,0,,0,,,,,,,
1144,SEE BEC FILE,169,226,DYB,Brunisolic,48.8509407,123.6202011,,,,,Fa,25,0,25,NA,1,0,25,,,70,25,95,0.16,0,37.4,14960,25135,14960,25135,1,,,,,
1145,,182,226,DYB,Brunisolic,48.8509407,123.6202011,,,,,Ah,0,-10,10,S,2,10,0,CDF,FG,,,,1.07,20,3.36,2876,,2876,,,,,,,
1146,,182,226,DYB,Brunisolic,48.8509407,123.6202011,,,,,Bm1,-10,-25,15,S,2,15,0,CDF,FG,,,,1.45,20,1.2,2088,,2088,,,,,,,
1147,,182,226,DYB,Brunisolic,48.8509407,123.6202011,,,,,Bm2,-25,-50,25,S,2,25,0,CDF,FG,,,,1.45,20,1.2,3480,,3480,,,,,,,
1148,,182,226,DYB,Brunisolic,48.8509407,123.6202011,,,,,Be,-50,-70,20,S,2,20,0,CDF,FG,,,,1.03,30,1.2,1730,,1730,,,,,,,
1149,SEE BEC FILE,710,227,SB,Brunisolic,48.83050537,123.6451263,,,,,Oh,5,0,5,NA,1,0,5,,,53,5,58,0.16,0,37.4,2992,11718,2992,11718,1,,,,,
1150,,767,227,SB,Brunisolic,48.83050537,123.6451263,,,,,Ah,0,-20,20,SiCL,2,20,0,CDF,WG,,,,1.07,20,3.36,5752,,5752,,,,,,,
1151,,767,227,SB,Brunisolic,48.83050537,123.6451263,,,,,Bm,-20,-31,11,SiCL,2,11,0,CDF,WG,,,,1.62,20,1.2,1711,,1711,,,,,,,
1152,,767,227,SB,Brunisolic,48.83050537,123.6451263,,,,,Cg,-31,-53,22,SiL,2,22,0,CDF,WG,,,,1.84,20,0.39,1263,,1263,,,,,,,
1153,SEE BEC FILE,168,228,HFP,Podzolic,48.84389114,123.6333008,,,,,Fa,25,0,25,NA,1,0,25,,,60,25,85,0.14,0,43.21,15124,23412,15124,23412,1,,,,,
1154,,181,228,HFP,Podzolic,48.84389114,123.6333008,,,,,Ah,0,-3,3,SL,2,3,0,CDF,M,,,,1.31,35,4.74,1211,,1211,,,,,,,
1155,,181,228,HFP,Podzolic,48.84389114,123.6333008,,,,,Bf,-3,-28,25,SL,2,25,0,CDF,M,,,,1.38,35,1.7,3812,,3812,,,,,,,
1156,,181,228,HFP,Podzolic,48.84389114,123.6333008,,,,,Bm,-28,-50,22,SL,2,22,0,CDF,M,,,,1.19,35,1.7,2893,,2893,,,,,,,
1157,,181,228,HFP,Podzolic,48.84389114,123.6333008,,,,,BC,-50,-60,10,LS,2,10,0,CDF,M,,,,1.38,50,0.54,373,,373,,,,,,,
1158,SEE BEC FILE,706,229,DYB,Brunisolic,48.8440361,123.6405334,,,,,L,2,1,1,NA,1,0,1,,,52,2,54,0.16,0,37.4,598,8360,598,8360,1,,,,,
1159,,706,229,DYB,Brunisolic,48.8440361,123.6405334,,,,,F,1,0,1,NA,1,0,1,,,,,,0.16,0,37.4,598,,598,,,,,,,
1160,,763,229,DYB,Brunisolic,48.8440361,123.6405334,,,,,Ah,0,-11,11,SL,2,11,0,CDF,M,,,,1.07,10,3.36,3559,,3559,,,,,,,
1161,,763,229,DYB,Brunisolic,48.8440361,123.6405334,,,,,Bm,-11,-33,22,SL,2,22,0,CDF,M,,,,1.45,25,1.2,2871,,2871,,,,,,,
1162,,763,229,DYB,Brunisolic,48.8440361,123.6405334,,,,,BCm,-33,-52,19,SL,2,19,0,CDF,M,,,,1.45,30,0.38,733,,733,,,,,,,
1163,SEE BEC FILE,400,230,FHP,Podzolic,48.84669495,123.6480865,,,,,Ln,2,1.5,0.5,NA,1,0,0.5,,,60,2,62,0.11,0,45.06,248,24668,248,24668,1,,,,,
1164,,400,230,FHP,Podzolic,48.84669495,123.6480865,,,,,Fz,1.5,0.5,1,NA,1,0,1,,,,,,0.11,0,45.06,496,,496,,,,,,,
1165,,400,230,FHP,Podzolic,48.84669495,123.6480865,,,,,Hz,0.5,0,0.5,NA,1,0,0.5,,,,,,0.11,0,38.51,212,,212,,,,,,,
1166,,447,230,FHP,Podzolic,48.84669495,123.6480865,,,,,Ah,0,-6,6,SIL,2,6,0,CDF,FG,,,,0.93,5,10.95,5805,,5805,,,,,,,
1167,,447,230,FHP,Podzolic,48.84669495,123.6480865,,,,,Bhf,-6,-36,30,SIL,2,30,0,CDF,FG,,,,0.86,10,3.92,9102,,9102,,,,,,,
1168,,447,230,FHP,Podzolic,48.84669495,123.6480865,,,,,Bf,-36,-60,24,SL,2,24,0,CDF,FG,,,,1.17,20,3.92,8806,,8806,,,,,,,
1169,SEE BEC FILE,745,231,SZ,NA,48.93592834,123.575737,,,,,Ah,-15,0,15,SL,2,15,0,CDF,WG,27,0,27,0,17,,0,0,0,0,1,,,,,
1170,,745,231,SZ,NA,48.93592834,123.575737,,,,,Bm,-27,-15,12,SL,2,12,0,CDF,WG,,,,0,40,,0,,0,,,,,,,
1171,,745,231,SZ,NA,48.93592834,123.575737,,,,,C,-27,-27,0,SL,2,0,0,CDF,WG,,,,0,45,,0,,0,,,,,,,
1172,SEE BEC FILE,170,232,HG,Gleysolic,48.85614014,123.6605988,,,,,L,1,0,1,NA,1,0,1,,,55,1,56,0.08,0,42.07,337,10764,337,10764,1,,,,,
1173,,183,232,HG,Gleysolic,48.85614014,123.6605988,,,,,Ah,0,-12,12,L,2,12,0,CDF,LG,,,,1.01,10,3.85,4200,,4200,,,,,,,
1174,,183,232,HG,Gleysolic,48.85614014,123.6605988,,,,,Bgj,-12,-30,18,CL,2,18,0,CDF,LG,,,,1.44,10,1.38,3219,,3219,,,,,,,
1175,,183,232,HG,Gleysolic,48.85614014,123.6605988,,,,,Bm,-30,-45,15,CL,2,15,0,CDF,LG,,,,1.44,15,1.38,2534,,2534,,,,,,,
1176,,183,232,HG,Gleysolic,48.85614014,123.6605988,,,,,BC,-45,-55,10,CL,2,10,0,CDF,LG,,,,1.44,25,0.44,475,,475,,,,,,,
1177,SEE BEC FILE,734,233,DYB,Brunisolic,48.97839355,123.5560608,,,,,L,12,10,2,NA,1,0,2,,,45,12,57,0.16,0,37.4,1197,11255,1197,11255,1,,,,,
1178,,734,233,DYB,Brunisolic,48.97839355,123.5560608,,,,,H,0,2,2,NA,1,0,2,,,,,,0.16,0,30.85,987,,987,,,,,,,
1179,,734,233,DYB,Brunisolic,48.97839355,123.5560608,,,,,F,10,2,8,NA,1,0,8,,,,,,0.16,0,37.4,4787,,4787,,,,,,,
1180,,791,233,DYB,Brunisolic,48.97839355,123.5560608,,,,,Ah,0,-3,3,SL,2,3,0,CDF,M,,,,1.07,5,3.36,1025,,1025,,,,,,,
1181,,791,233,DYB,Brunisolic,48.97839355,123.5560608,,,,,Bm,-3,-25,22,SL,2,22,0,CDF,M,,,,1.45,35,1.2,2488,,2488,,,,,,,
1182,,791,233,DYB,Brunisolic,48.97839355,123.5560608,,,,,BCmgj,-25,-45,20,SL,2,20,0,CDF,M,,,,1.45,30,0.38,771,,771,,,,,,,
1183,,791,233,DYB,Brunisolic,48.97839355,123.5560608,,,,,BCmgj II,-45,-45,0,SL,2,0,0,CDF,M,,,,1.45,10,0.38,0,,0,,,,,,,
1184,SEE BEC FILE,172,234,DYB,Brunisolic,48.75899887,123.7953033,,,,,Fm,5,2,3,NA,1,0,3,,,50.5,5,55.5,0.16,0,37.4,1795,5375,1795,5375,1,,,,,
1185,,172,234,DYB,Brunisolic,48.75899887,123.7953033,,,,,Fa,2,0,2,NA,1,0,2,,,,,,0.16,0,37.4,1197,,1197,,,,,,,
1186,,185,234,DYB,Brunisolic,48.75899887,123.7953033,,,,,Ae,0,-0.5,0.5,,2,0.5,0,CWH,FG,,,,1.24,0,3.36,208,,208,,,,,,,
1187,,185,234,DYB,Brunisolic,48.75899887,123.7953033,,,,,Bm,-5,-18,13,LS,2,13,0,CWH,FG,,,,1.45,60,1.2,905,,905,,,,,,,
1188,,185,234,DYB,Brunisolic,48.75899887,123.7953033,,,,,Bfj,-18,-38,20,LS,2,20,0,CWH,FG,,,,1.03,60,1.2,989,,989,,,,,,,
1189,,185,234,DYB,Brunisolic,48.75899887,123.7953033,,,,,BC,-38,-55,17,S,2,17,0,CWH,FG,,,,1.45,70,0.38,281,,281,,,,,,,
1190,SEE BEC FILE,711,235,DYB,Brunisolic,48.76002502,123.7995987,,,,,L,3,2,1,NA,1,0,1,,,50,3,53,0.16,0,37.4,598,7319,598,7319,1,,,,,
1191,,711,235,DYB,Brunisolic,48.76002502,123.7995987,,,,,Fz,2,1,1,NA,1,0,1,,,,,,0.16,0,37.4,598,,598,,,,,,,
1192,,711,235,DYB,Brunisolic,48.76002502,123.7995987,,,,,Hh,1,0,1,NA,1,0,1,,,,,,0.16,0,30.85,494,,494,,,,,,,
1193,,768,235,DYB,Brunisolic,48.76002502,123.7995987,,,,,Ah,0,-7,7,SL,2,7,0,CDF,FG,,,,1.07,25,3.36,1887,,1887,,,,,,,
1194,,768,235,DYB,Brunisolic,48.76002502,123.7995987,,,,,Bm,-7,-50,43,SL,2,43,0,CDF,FG,,,,1.45,50,1.2,3741,,3741,,,,,,,
1195,SEE BEC FILE,721,236,DYB,Brunisolic,48.8297081,123.7422714,,,,,L,5,2,3,NA,1,0,3,,,45,5,50,0.16,0,37.4,1795,9193,1795,9193,1,,,,,
1196,,721,236,DYB,Brunisolic,48.8297081,123.7422714,,,,,F,2,0,2,NA,1,0,2,,,,,,0.16,0,37.4,1197,,1197,,,,,,,
1197,,778,236,DYB,Brunisolic,48.8297081,123.7422714,,,,,Ah,0,-8,8,SL,2,8,0,CDF,M,,,,1.07,15,3.36,2445,,2445,,,,,,,
1198,,778,236,DYB,Brunisolic,48.8297081,123.7422714,,,,,Bm,-8,-34,26,SL,2,26,0,CDF,M,,,,1.45,25,1.2,3393,,3393,,,,,,,
1199,,778,236,DYB,Brunisolic,48.8297081,123.7422714,,,,,BC,-34,-45,11,SL,2,11,0,CDF,M,,,,1.45,40,0.38,364,,364,,,,,,,
1200,SEE BEC FILE,720,237,SB,Brunisolic,48.83655548,123.7404633,,,,,L,6.5,0.5,6,NA,1,0,6,,,55,7,62,0.16,0,37.4,3590,10207,3590,10207,1,,,,,
1201,,720,237,SB,Brunisolic,48.83655548,123.7404633,,,,,F,0.5,0,0.5,NA,1,0,0.5,,,,,,0.16,0,37.4,299,,299,,,,,,,
1202,,777,237,SB,Brunisolic,48.83655548,123.7404633,,,,,F,0.5,0,0.5,NA,1,0,0.5,,,,,,0.16,0,37.4,299,,299,,,,,,,
1203,,777,237,SB,Brunisolic,48.83655548,123.7404633,,,,,Ah,0,-13,13,SL,2,13,0,CDF,M,,,,1.07,15,3.36,3973,,3973,,,,,,,
1204,,777,237,SB,Brunisolic,48.83655548,123.7404633,,,,,Bfj,-13,-43,30,SL,2,30,0,CDF,M,,,,1.62,70,1.2,1750,,1750,,,,,,,
1205,,777,237,SB,Brunisolic,48.83655548,123.7404633,,,,,BC,-43,-55,12,LS,2,12,0,CDF,M,,,,1.62,60,0.38,295,,295,,,,,,,
1206,SEE BEC FILE,225,238,HFP,Podzolic,48.62989044,124.0160294,,,,,L,14,13,1,NA,1,0,1,,,18,14,32,0.14,0,43.21,605,13967,605,13967,1,,,,,
1207,,225,238,HFP,Podzolic,48.62989044,124.0160294,,,,,Fa,13,11,2,NA,1,0,2,,,,,,0.14,0,43.21,1210,,1210,,,,,,,
1208,,225,238,HFP,Podzolic,48.62989044,124.0160294,,,,,Fm,11,0,11,NA,1,0,11,,,,,,0.14,0,43.21,6654,,6654,,,,,,,
1209,,238,238,HFP,Podzolic,48.62989044,124.0160294,,,,,Ae,0,-5,5,L,2,5,0,CDF,M,,,,1.31,0,4.74,3105,,3105,,,,,,,
1210,,238,238,HFP,Podzolic,48.62989044,124.0160294,,,,,Bf1,-5,-16,11,L,2,11,0,CDF,M,,,,1.38,20,1.7,2064,,2064,,,,,,,
1211,,238,238,HFP,Podzolic,48.62989044,124.0160294,,,,,Bf2,-16,-18,2,L,2,2,0,CDF,M,,,,1.38,30,1.7,328,,328,,,,,,,
1212,,225,238,HFP,Podzolic,48.62989044,124.0160294,,,,,H,0,0,0,NA,1,0,0,,,,,,0.14,0,36.65,0,,0,,,,,,,
1213,SEE BEC FILE,171,239,HFP,Podzolic,48.83797073,123.8230972,,,,,Fm,2.5,0,2.5,NA,1,0,2.5,,,60,2.5,62.5,0.14,0,43.21,1512,6974,1512,6974,1,,,,,
1214,,184,239,HFP,Podzolic,48.83797073,123.8230972,,,,,Ahf,0,-8,8,L,2,8,0,CDF,M,,,,1.31,50,4.74,2484,,2484,,,,,,,
1215,,184,239,HFP,Podzolic,48.83797073,123.8230972,,,,,Bf,-8,-18,10,SL,2,10,0,CDF,M,,,,1.38,70,1.7,704,,704,,,,,,,
1216,,184,239,HFP,Podzolic,48.83797073,123.8230972,,,,,Bm,-18,-38,20,SL,2,20,0,CDF,M,,,,1.19,60,1.7,1618,,1618,,,,,,,
1217,,184,239,HFP,Podzolic,48.83797073,123.8230972,,,,,BC,-38,-60,22,SL,2,22,0,CDF,M,,,,1.38,60,0.54,656,,656,,,,,,,
1218,SEE BEC FILE,624,240,SB,Brunisolic,50.35871887,122.3107986,,,,,LF,1,0,1,NA,1,0,1,,,62,1,63,0.16,0,37.4,598,21252,598,21252,1,,,,,
1219,,674,240,SB,Brunisolic,50.35871887,122.3107986,,,,,Ah1,0,-20,20,SIL,2,20,0,CDF,M,,,,1.07,0,3.36,7190,,7190,,,,,,,
1220,,674,240,SB,Brunisolic,50.35871887,122.3107986,,,,,Ah2,-20,-31,11,SL,2,11,0,CDF,M,,,,1.07,5,3.36,3757,,3757,,,,,,,
1221,,674,240,SB,Brunisolic,50.35871887,122.3107986,,,,,Cb,-31,-36,5,S,2,5,0,CDF,M,,,,1.84,0,0.39,359,,359,,,,,,,
1222,,674,240,SB,Brunisolic,50.35871887,122.3107986,,,,,Ahb1,-36,-46,10,SIL,2,10,0,CDF,M,,,,1.07,0,3.36,3595,,3595,,,,,,,
1223,,674,240,SB,Brunisolic,50.35871887,122.3107986,,,,,Ahb2,-46,-62,16,SL,2,16,0,CDF,M,,,,1.07,0,3.36,5752,,5752,,,,,,,
1224,SEE BEC FILE,740,241,DYB,Brunisolic,49.00381088,123.6676788,,,,,L,3.5,3,0.5,NA,1,0,0.5,,,36,3.5,39.5,0.16,0,37.4,299,6703,299,6703,1,,,,,
1225,,740,241,DYB,Brunisolic,49.00381088,123.6676788,,,,,F,3,0.75,2.25,NA,1,0,2.25,,,,,,0.16,0,37.4,1346,,1346,,,,,,,
1226,,740,241,DYB,Brunisolic,49.00381088,123.6676788,,,,,H,0.75,0,0.75,NA,1,0,0.75,,,,,,0.16,0,30.85,370,,370,,,,,,,
1227,,797,241,DYB,Brunisolic,49.00381088,123.6676788,,,,,Ah,0,-6,6,LS,2,6,0,MH,M,,,,1.07,40,3.36,1294,,1294,,,,,,,
1228,,797,241,DYB,Brunisolic,49.00381088,123.6676788,,,,,Bm,-6,-36,30,LS,2,30,0,MH,M,,,,1.45,35,1.2,3393,,3393,,,,,,,
1229,SEE BEC FILE,625,242,SB,Brunisolic,50.3615303,122.3141022,,,,,L,3,2.5,0.5,NA,1,0,0.5,,,56,3,59,0.16,0,37.4,299,6724,299,6724,1,,,,,
1230,,625,242,SB,Brunisolic,50.3615303,122.3141022,,,,,F,2.5,1,1.5,NA,1,0,1.5,,,,,,0.16,0,37.4,898,,898,,,,,,,
1231,,625,242,SB,Brunisolic,50.3615303,122.3141022,,,,,H,1,0,1,NA,1,0,1,,,,,,0.16,0,30.85,494,,494,,,,,,,
1232,,675,242,SB,Brunisolic,50.3615303,122.3141022,,,,,Ah,0,-56,56,SIL,2,56,0,MH,M,,,,1.07,75,3.36,5033,,5033,,,,,,,
1233,SEE BEC FILE,317,243,DYB,Brunisolic,48.57600021,124.1290665,,,,,L,18,16,2,NA,1,0,2,,,45,18,63,0.16,0,37.4,1197,16113,1197,16113,1,,,,,
1234,,317,243,DYB,Brunisolic,48.57600021,124.1290665,,,,,Fa,16,4,12,NA,1,0,12,,,,,,0.16,0,37.4,7181,,7181,,,,,,,
1235,,317,243,DYB,Brunisolic,48.57600021,124.1290665,,,,,Hr,4,0,4,NA,1,0,4,,,,,,0.16,0,30.85,1974,,1974,,,,,,,
1236,,347,243,DYB,Brunisolic,48.57600021,124.1290665,,,,,Ah,0,-1,1,,2,1,0,CWH,M,,,,1.07,0,3.36,360,,360,,,,,,,
1237,,347,243,DYB,Brunisolic,48.57600021,124.1290665,,,,,Bfj,-1,-10,9,SIL,2,9,0,CWH,M,,,,1.03,25,1.2,834,,834,,,,,,,
1238,,347,243,DYB,Brunisolic,48.57600021,124.1290665,,,,,Bm,-10,-45,35,SIL,2,35,0,CWH,M,,,,1.45,25,1.2,4568,,4568,,,,,,,
1239,SEE BEC FILE,31,244,HR,Regosolic,48.58697128,124.188797,,,,,Ln/C,5,0,5,NA,1,0,5,,,110,5,115,0.11,0,25.58,1407,39967,1407,39967,1,,,,,
1240,,40,244,HR,Regosolic,48.58697128,124.188797,,,,,Ah,0,-41,41,SIL,2,41,0,CWH,M,,,,0.97,0,7.94,31577,,31577,,,,,,,
1241,,40,244,HR,Regosolic,48.58697128,124.188797,,,,,C,-41,-110,69,LS,2,69,0,MS,F,,,,1.1,0,0.92,6983,,6983,,,,,,,
1242,SEE BEC FILE,211,245,SB,Brunisolic,49.69477844,123.0948029,,,,,Fzi,3,0,3,NA,1,0,3,,,80,3,83,0.16,0,37.4,1795,10199,1795,10199,1,,,,,
1243,,224,245,SB,Brunisolic,49.69477844,123.0948029,,,,,Ah,0,-12,12,SL,2,12,0,MS,F,,,,1.07,50,3.36,2157,,2157,,,,,,,
1244,,224,245,SB,Brunisolic,49.69477844,123.0948029,,,,,Bm,-12,-42,30,SL,2,30,0,MS,F,,,,1.62,50,1.2,2916,,2916,,,,,,,
1245,,224,245,SB,Brunisolic,49.69477844,123.0948029,,,,,Bfj,-42,-75,33,SL,2,33,0,MS,F,,,,1.62,50,1.2,3208,,3208,,,,,,,
1246,,224,245,SB,Brunisolic,49.69477844,123.0948029,,,,,BC,-75,-80,5,LS,2,5,0,MS,F,,,,1.62,60,0.38,123,,123,,,,,,,
1247,,211,245,SB,Brunisolic,49.69477844,123.0948029,,,,,L,0,0,0,NA,1,0,0,,,,,,0.16,0,37.4,0,,0,,,,,,,
1248,SEE BEC FILE,282,246,DYB,Brunisolic,50.27157974,122.5270996,,,,,Lv,4,3,1,NA,1,0,1,,,65,4,69,0.16,0,37.4,598,12578,598,12578,1,,,,,
1249,,282,246,DYB,Brunisolic,50.27157974,122.5270996,,,,,Fa,3,1,2,NA,1,0,2,,,,,,0.16,0,37.4,1197,,1197,,,,,,,
1250,,282,246,DYB,Brunisolic,50.27157974,122.5270996,,,,,Hr,1,0,1,NA,1,0,1,,,,,,0.16,0,30.85,494,,494,,,,,,,
1251,,310,246,DYB,Brunisolic,50.27157974,122.5270996,,,,,Ahj,0,-2,2,LS,2,2,0,CDF,M,,,,1.07,0,3.36,719,,719,,,,,,,
1252,,310,246,DYB,Brunisolic,50.27157974,122.5270996,,,,,Bm1,-2,-33,31,LS,2,31,0,CDF,M,,,,1.45,0,1.2,5394,,5394,,,,,,,
1253,,310,246,DYB,Brunisolic,50.27157974,122.5270996,,,,,Bm2,-33,-65,32,LS,2,32,0,MS,C,,,,1.45,25,1.2,4176,,4176,,,,,,,
1254,SEE BEC FILE,243,247,DYB,Brunisolic,48.60830688,124.1998596,,,,,L,7,6,1,NA,1,0,1,,,20,7,27,0.16,0,37.4,598,6067,598,6067,1,,,,,
1255,,243,247,DYB,Brunisolic,48.60830688,124.1998596,,,,,Fm,6,2,4,NA,1,0,4,,,,,,0.16,0,37.4,2394,,2394,,,,,,,
1256,,243,247,DYB,Brunisolic,48.60830688,124.1998596,,,,,H,2,0,2,NA,1,0,2,,,,,,0.16,0,30.85,987,,987,,,,,,,
1257,,271,247,DYB,Brunisolic,48.60830688,124.1998596,,,,,Bm,0,-20,20,SL,2,20,0,CWH,C,,,,1.45,40,1.2,2088,,2088,,,,,,,
1258,SEE BEC FILE,208,248,FHP,Podzolic,49.70669937,123.1091003,,,,,Fm1,10,5,5,NA,1,0,5,,,50,10,60,0.11,0,45.06,2478,14816,2478,14816,1,,,,,
1259,,208,248,FHP,Podzolic,49.70669937,123.1091003,,,,,Fm2,5,0,5,NA,1,0,5,,,,,,0.11,0,45.06,2478,,2478,,,,,,,
1260,,221,248,FHP,Podzolic,49.70669937,123.1091003,,,,,Ae,0,-3,3,SIL,2,3,0,CWH,C,,,,0.93,70,10.95,917,,917,,,,,,,
1261,,221,248,FHP,Podzolic,49.70669937,123.1091003,,,,,Bf,-3,-15,12,SL,2,12,0,CWH,C,,,,1.17,70,3.92,1651,,1651,,,,,,,
1262,,221,248,FHP,Podzolic,49.70669937,123.1091003,,,,,Bm,-15,-30,15,LS,2,15,0,CWH,F,,,,1.71,70,3.92,3016,,3016,,,,,,,
1263,,221,248,FHP,Podzolic,49.70669937,123.1091003,,,,,BC,-30,-50,20,,2,20,0,CWH,F,,,,1.71,0,1.25,4275,,4275,,,,,,,
1264,SEE BEC FILE,739,249,HFP,Podzolic,49.12191772,123.698967,,,,,L,4,3.5,0.5,NA,1,0,0.5,,,17,4,21,0.14,0,43.21,302,10416,302,10416,1,,,,,
1265,,739,249,HFP,Podzolic,49.12191772,123.698967,,,,,F,3.5,1.5,2,NA,1,0,2,,,,,,0.14,0,43.21,1210,,1210,,,,,,,
1266,,739,249,HFP,Podzolic,49.12191772,123.698967,,,,,H,1.5,0,1.5,NA,1,0,1.5,,,,,,0.14,0,36.65,770,,770,,,,,,,
1267,,796,249,HFP,Podzolic,49.12191772,123.698967,,,,,Ah,0,-12,12,LS,2,12,0,CWH,,,,,1.31,5,4.74,7079,,7079,,,,,,,
1268,,796,249,HFP,Podzolic,49.12191772,123.698967,,,,,Bf,-12,-17,5,S,2,5,0,CWH,,,,,1.38,10,1.7,1056,,1056,,,,,,,
1269,SEE BEC FILE,32,250,R,Regosolic,48.59785843,124.2319031,,,,,Ln,2,1,1,NA,1,0,1,,,106,2,108,0.11,0,25.58,281,61835,281,61835,1,,,,,
1270,,32,250,R,Regosolic,48.59785843,124.2319031,,,,,Fz,1,0,1,NA,1,0,1,,,,,,0.11,0,25.58,281,,281,,,,,,,
1271,,41,250,R,Regosolic,48.59785843,124.2319031,,,,,IC,0,-1,1,S,2,1,0,CWH,,,,,1.1,23.5,0.92,77,,77,,,,,,,
1272,,41,250,R,Regosolic,48.59785843,124.2319031,,,,,IAhb,-1,-48,47,SIL,2,47,0,CWH,,,,,0.97,23.5,7.94,27692,,27692,,,,,,,
1273,,41,250,R,Regosolic,48.59785843,124.2319031,,,,,IIAhb/c,-48,-89,41,SIL,2,41,0,CWH,FG,,,,0.97,25,7.94,23683,,23683,,,,,,,
