Row,HORIZON_ID,LOCATION_ID,HORIZON,HZN_ORG_MIN,UPPER_HZN_LIMIT,HZN_THICKNESS,BULK_DENSITY,DB_MEAS_EST,DB_EST_TYPE,CF_CLASS,CF_VOL_PCT,CF_FINAL,ORG_CARB_PCT,CARB_MEAS_EST,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
58,9410,1779,L,Organic,-21,2,0.08,Estimated,LOOKUP_DB,,NA,0,51.17,Measured,819,33442,819,334.4
59,9411,1779,F,Organic,-19,19,0.12,Estimated,LOOKUP_DB,,NA,0,55.91,Measured,12747,,12747,
60,9412,1779,Ae,Mineral,0,10,1.42,Estimated,LOOKUP_DB,31-65%,48,48,7.25,Measured,5353,,5353,
61,9413,1779,Ahg,Mineral,10,14,1.42,Estimated,LOOKUP_DB,31-65%,48,48,5.01,Measured,5179,,5179,
62,9414,1779,Bgc,Mineral,24,15,1.42,Estimated,LOOKUP_DB,31-65%,48,48,6.27,Measured,6945,,6945,
63,9415,1779,BCcg,Mineral,39,12,1.42,Estimated,LOOKUP_DB,31-65%,48,48,0.91,Measured,806,,806,
64,9416,1779,CBcg,Mineral,51,49,1.42,Estimated,LOOKUP_DB,31-65%,48,48,0.44,Measured,1592,,1592,
65,9417,1780,LFH,Organic,-12,12,0.11,Estimated,LOOKUP_DB,,NA,0,49.45,Measured,6527,25757,6527,257.6
66,9418,1780,Bf,Mineral,0,10,1.17,Estimated,LOOKUP_DB,>65%,75,75,2.33,Measured,682,,682,
67,9419,1780,Bhf1,Mineral,10,16,0.86,Estimated,LOOKUP_DB,>65%,75,75,15.21,Measured,5232,,5232,
68,9420,1780,Bhf2,Mineral,26,28,0.86,Estimated,LOOKUP_DB,>65%,75,75,9.83,Measured,5918,,5918,
69,9421,1780,Bhf3,Mineral,54,23,0.86,Estimated,LOOKUP_DB,>65%,75,75,7.36,Measured,3640,,3640,
70,9422,1780,Bhf4,Mineral,77,23,0.86,Estimated,LOOKUP_DB,>65%,75,75,7.6,Measured,3758,,3758,
71,9423,1781,LFH,Organic,-25,25,0.11,Estimated,LOOKUP_DB,,NA,0,57.05,Measured,15689,33966,15689,339.7
72,9424,1781,Ae,Mineral,0,13,0.93,Estimated,LOOKUP_DB,31-65%,48,48,2.09,Measured,1314,,1314,
73,9425,1781,Bhf,Mineral,13,14,0.86,Estimated,LOOKUP_DB,31-65%,48,48,10.92,Measured,6837,,6837,
74,9426,1781,Bf1,Mineral,27,7,1.17,Estimated,LOOKUP_DB,31-65%,48,48,4.08,Measured,1738,,1738,
75,9427,1781,Bf2,Mineral,34,17,1.17,Estimated,LOOKUP_DB,31-65%,48,48,2.55,Measured,2637,,2637,
76,9428,1781,Bf3,Mineral,51,17,1.17,Estimated,LOOKUP_DB,31-65%,48,48,2.53,Measured,2617,,2617,
77,9429,1781,Bf4,Mineral,68,32,1.17,Estimated,LOOKUP_DB,31-65%,48,48,1.61,Measured,3134,,3134,
78,9486,1794,LF,Organic,-23,5,0.11,Estimated,LOOKUP_DB,,NA,0,64.16,Measured,3529,25356,3529,253.6
79,9487,1794,H,Organic,-18,18,0.11,Estimated,LOOKUP_DB,,NA,0,50.09,Measured,9918,,9918,
80,9488,1794,Bhf1,Mineral,0,10,0.86,Estimated,LOOKUP_DB,>65%,75,75,7.52,Measured,1617,,1617,
81,9489,1794,Bhf2,Mineral,10,28,0.86,Estimated,LOOKUP_DB,>65%,75,75,5.47,Measured,3293,,3293,
82,9490,1794,Bf,Mineral,38,62,1.17,Estimated,LOOKUP_DB,>65%,75,75,3.86,Measured,7000,,7000,
83,9491,1795,LF,Organic,-15,15,0.11,Estimated,LOOKUP_DB,,NA,0,57.34,Measured,9461,27459,9461,274.6
84,9492,1795,Ae,Mineral,0,5,0.93,Estimated,LOOKUP_DB,31-65%,48,48,2.46,Measured,595,,595,
85,9493,1795,Bf1,Mineral,5,33,1.17,Estimated,LOOKUP_DB,31-65%,48,48,3.03,Measured,6083,,6083,
86,9494,1795,Bf2,Mineral,38,30,1.17,Estimated,LOOKUP_DB,31-65%,48,48,2.14,Measured,3906,,3906,
87,9495,1795,Bhf,Mineral,68,18,0.86,Estimated,LOOKUP_DB,31-65%,48,48,9.21,Measured,7414,,7414,
88,9496,1795,Rock,Mineral,86,14,NA,NA,NA,,NA,NA,NA,,NA,,NA,
89,9497,1796,LFH,Organic,-6,6,0.11,Estimated,LOOKUP_DB,,NA,0,17.58,Measured,1160,31620,1160,316.2
90,9498,1796,Bhf1,Mineral,0,12,0.86,Estimated,LOOKUP_DB,31-65%,48,48,11.18,Measured,6000,,6000,
91,9499,1796,Bhf2,Mineral,12,22,0.86,Estimated,LOOKUP_DB,31-65%,48,48,6.87,Measured,6759,,6759,
92,9500,1796,Bf,Mineral,34,23,1.17,Estimated,LOOKUP_DB,31-65%,48,48,2.54,Measured,3554,,3554,
93,9501,1796,BC1,Mineral,57,43,1.71,Estimated,LOOKUP_DB,31-65%,48,48,3.7,Measured,14147,,14147,
94,9502,1797,LFH,Organic,-2,2,0.14,Estimated,LOOKUP_DB,,NA,0,52.94,Measured,1482,12840,1482,128.4
95,9503,1797,Bfcc1,Mineral,0,10,1.46,Estimated,LOOKUP_DB,31-65%,48,48,4.44,Measured,3371,,3371,
96,9504,1797,Bfcc2,Mineral,10,26,1.46,Estimated,LOOKUP_DB,31-65%,48,48,2.84,Measured,5606,,5606,
97,9505,1797,Bfcc3,Mineral,36,14,1.46,Estimated,LOOKUP_DB,31-65%,48,48,2.24,Measured,2381,,2381,
98,9506,1797,Rock,Mineral,50,50,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,
